room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,beds_per_accommodates,accommodates_per_bedroom,reviews_per_month_per_review,availability_ratio_30_365,host_listing_concentration,review_scores_mean,description_char_len,description_word_count,amenities_item_count,property_type_char_len,host_tenure_days,days_since_first_review,days_since_last_review
Entire home/apt,6,2.0,3.0,7.0,within an hour,f,1.0,1.0,40.28774,17.85692,t,30,60,90,284,7,1,0,5.0,5.0,4.86,4.57,0.17,250.0,1.1666666666666667,2.0,0.0242857142857142,0.1056338028169014,1.0,4.8575,401,59,55,20,1597.0,890.0,-189.0
Hotel room,2,1.0,1.0,1.0,within an hour,f,32.0,33.0,48.88734,2.33571,t,29,59,82,82,21,5,0,4.52,4.52,4.81,4.38,0.28,101.0,0.5,2.0,0.0133333333333333,0.3536585365853658,0.9696969696969696,4.557499999999999,74,12,12,22,2506.0,1943.0,-291.0
Entire home/apt,6,1.0,2.0,3.0,within an hour,f,131.0,180.0,48.17253,16.38028,t,1,1,1,1,40,33,1,4.35,4.3,4.55,4.55,2.41,51.0,0.5,3.0,0.06025,1.0,0.7277777777777777,4.4375,467,68,40,18,1895.0,67.0,-418.0
Entire home/apt,8,3.0,4.0,5.0,within a few hours,t,2.0,2.0,51.90498,-8.85054,t,23,24,24,59,41,4,0,4.73,4.68,4.76,4.71,0.66,300.0,0.625,2.0,0.0160975609756097,0.3898305084745763,1.0,4.72,171,24,47,11,1735.0,1529.0,-228.0
Hotel room,8,4.0,4.0,4.0,within an hour,f,2873.0,4538.0,30.33914,-97.70402,t,0,0,0,0,0,0,0,,,,,,560.0,0.5,2.0,,,0.6330982811811371,,488,80,25,13,315.0,,
Entire home/apt,4,2.0,2.0,3.0,within an hour,f,5.0,8.0,37.07333,25.13412,t,0,0,0,218,15,6,0,4.67,5.0,4.8,4.47,0.37,295.0,0.75,2.0,0.0246666666666666,0.0,0.625,4.734999999999999,160,28,33,18,916.0,848.0,-268.0
Entire home/apt,8,1.0,2.0,3.0,within an hour,f,82.0,84.0,32.70871,-97.34678,t,18,45,73,282,28,28,3,4.61,4.68,4.64,4.68,2.67,92.0,0.375,4.0,0.0953571428571428,0.0638297872340425,0.9761904761904762,4.6525,467,66,51,18,582.0,-118.0,-424.0
Entire home/apt,2,1.0,1.0,1.0,within an hour,t,2.0,2.0,39.76107,-104.90693,t,28,58,88,360,15,5,0,4.93,5.0,4.87,4.93,0.56,168.0,0.5,2.0,0.0373333333333333,0.0777777777777777,1.0,4.9325,330,58,55,25,1178.0,432.0,-246.0
Entire home/apt,5,1.0,2.0,3.0,within an hour,f,1.0,1.0,51.46465,-2.55713,t,17,41,71,326,148,41,2,4.53,4.44,4.45,4.36,2.51,89.0,0.6,2.5,0.0169594594594594,0.0521472392638036,1.0,4.445,379,63,33,11,1432.0,1408.0,-353.0
Entire home/apt,6,2.0,3.0,5.0,within an hour,t,36.0,52.0,-38.30001,144.99425,t,25,55,85,360,39,27,1,4.85,4.77,4.85,4.77,2.09,263.0,0.8333333333333334,2.0,0.0535897435897435,0.0694444444444444,0.6923076923076923,4.81,507,87,40,11,438.0,128.0,-420.0
Entire home/apt,2,2.0,1.0,1.0,,f,1.0,4.0,-23.02678,-43.49863,t,29,59,89,89,2,0,0,4.5,3.5,4.5,4.5,0.08,600.0,0.5,2.0,0.04,0.3258426966292135,0.25,4.25,237,45,27,15,4640.0,364.0,328.0
Entire home/apt,6,1.0,2.0,3.0,within an hour,f,16.0,17.0,51.52321,-0.2139,t,10,40,70,345,47,15,0,4.64,4.62,4.62,4.55,1.57,178.0,0.5,3.0,0.0334042553191489,0.0289855072463768,0.9411764705882352,4.6075,500,78,54,18,613.0,552.0,-301.0
Entire home/apt,4,1.0,2.0,3.0,,f,2.0,2.0,40.9537765,17.2973785,t,29,59,89,364,0,0,0,,,,,,160.0,0.75,2.0,,0.0796703296703296,1.0,,66,11,6,18,1268.0,,
Entire home/apt,2,1.0,1.0,1.0,within an hour,t,2.0,3.0,45.77188325087734,4.826446945247318,t,6,23,47,221,2,2,0,5.0,5.0,4.5,4.5,0.5,59.0,0.5,2.0,0.25,0.0271493212669683,0.6666666666666666,4.75,462,81,25,18,3087.0,-315.0,-370.0
Entire home/apt,7,2.0,2.0,4.0,within an hour,f,2.0,2.0,45.4510364,9.1403324,t,4,15,22,87,6,6,2,4.83,4.67,4.67,4.83,2.5,82.0,0.5714285714285714,3.5,0.4166666666666667,0.0459770114942528,1.0,4.75,464,83,43,18,-231.0,-366.0,-427.0
Entire home/apt,5,1.0,1.0,1.0,within an hour,f,58.0,76.0,1.2967540415161,103.8400103347904,t,25,55,85,360,1,1,0,5.0,5.0,5.0,4.0,0.18,270.0,0.2,5.0,0.18,0.0694444444444444,0.7631578947368421,4.75,249,39,26,25,3689.0,-195.0,-195.0
Private room,1,1.0,1.0,1.0,a few days or more,t,3.0,3.0,37.85172,15.29021,t,0,0,0,0,129,1,0,4.93,5.0,4.96,4.89,1.13,55.0,1.0,1.0,0.0087596899224806,,1.0,4.945,216,38,36,33,3114.0,3075.0,-127.0
Entire home/apt,3,1.0,1.0,2.0,within an hour,f,151.0,466.0,32.81446,-96.78999,t,13,43,73,348,23,6,1,4.7,4.57,4.74,4.7,0.39,145.0,0.6666666666666666,3.0,0.0169565217391304,0.0373563218390804,0.3240343347639485,4.6775,468,71,48,18,2562.0,1324.0,-413.0
Entire home/apt,5,3.0,3.0,3.0,within an hour,f,197.0,257.0,35.91154,14.47511,t,15,43,66,322,9,9,0,4.67,4.89,4.78,4.78,1.27,97.0,0.6,1.6666666666666667,0.1411111111111111,0.046583850931677,0.7665369649805448,4.78,235,36,38,18,4240.0,-147.0,-253.0
Entire home/apt,2,1.0,1.0,1.0,within a few hours,f,841.0,853.0,40.44258,-3.70168,t,30,60,90,331,0,0,0,,,,,,389.0,0.5,2.0,,0.0906344410876132,0.9859320046893316,,295,51,27,18,1326.0,,
Entire home/apt,2,1.0,0.0,2.0,within an hour,f,2.0,3.0,41.98577,-87.6563,t,1,1,1,1,26,9,0,4.0,4.42,4.42,3.92,0.45,158.0,1.0,,0.0173076923076923,1.0,0.6666666666666666,4.1899999999999995,423,72,46,18,1448.0,1286.0,-287.0
Entire home/apt,8,4.0,4.0,5.0,within an hour,f,1.0,1.0,36.31605,28.18721,t,0,0,0,160,0,0,0,,,,,,307.0,0.625,2.0,,0.0,1.0,,503,75,58,12,1279.0,,
Private room,2,1.0,1.0,1.0,,f,48.0,49.0,37.63941769304992,-122.45834963290862,t,6,34,64,153,15,15,0,4.8,4.8,4.8,4.73,1.88,65.0,0.5,2.0,0.1253333333333333,0.0392156862745098,0.979591836734694,4.7825,448,73,24,20,1746.0,-119.0,-318.0
Entire home/apt,4,2.0,2.0,2.0,within an hour,f,4.0,4.0,51.42382237665752,-0.2064295014813285,t,4,4,4,62,3,3,3,5.0,5.0,5.0,5.0,3.0,128.0,0.5,2.0,1.0,0.064516129032258,1.0,5.0,60,9,30,18,295.0,-320.0,-339.0
Entire home/apt,5,1.0,2.0,1.0,a few days or more,f,4.0,4.0,38.0339355,12.8369475,t,0,0,0,212,0,0,0,,,,,,113.0,0.2,2.5,,0.0,1.0,,386,66,15,20,322.0,,
Entire home/apt,2,1.0,1.0,1.0,within an hour,t,1.0,1.0,-30.9028661,153.0626795,t,23,50,64,64,28,28,3,4.93,4.93,4.89,4.86,6.13,147.0,0.5,2.0,0.2189285714285714,0.359375,1.0,4.9025,497,86,39,18,2407.0,-292.0,-411.0
