room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,beds_per_accommodates,accommodates_per_bedroom,reviews_per_month_per_review,availability_ratio_30_365,host_listing_concentration,review_scores_mean,description_char_len,description_word_count,amenities_item_count,property_type_char_len,host_tenure_days,days_since_first_review,days_since_last_review
Entire home/apt,2,1.5,1.0,4.0,,f,1.0,1.0,48.8932714,2.3277853,,11,16,46,227,0,0,0,,,,,,80.0,2.0,2.0,,0.0484581497797356,1.0,,76,12,37,12,750.0,,
Private room,2,1.0,1.0,1.0,within an hour,f,1.0,1.0,35.87656182650064,14.398685180950936,t,5,30,56,203,10,10,1,4.6,4.3,4.9,4.8,1.01,60.0,0.5,2.0,0.101,0.0246305418719211,1.0,4.6499999999999995,494,83,37,20,333.0,-62.0,-349.0
Entire home/apt,5,1.0,3.0,3.0,within an hour,t,1.0,1.0,44.48922,11.35583,t,8,19,35,297,53,47,0,4.89,4.94,4.91,4.77,3.61,227.0,0.6,1.6666666666666667,0.0681132075471698,0.0269360269360269,1.0,4.8774999999999995,494,94,39,18,3728.0,0.0,-384.0
Private room,2,1.5,1.0,1.0,within an hour,f,1.0,1.0,48.17441,16.37887,t,1,1,1,1,14,14,1,4.57,4.43,4.86,4.57,4.29,24.0,0.5,2.0,0.3064285714285714,1.0,1.0,4.6075,530,81,35,27,-323.0,-334.0,-402.0
Private room,2,3.5,1.0,1.0,within an hour,f,65.0,69.0,50.83039,4.33343,t,13,33,55,136,61,57,0,4.72,4.8,4.49,4.7,4.47,41.0,0.5,2.0,0.0732786885245901,0.0955882352941176,0.9420289855072465,4.6775,443,84,42,26,532.0,-32.0,-404.0
Entire home/apt,6,2.0,3.0,3.0,,f,1.0,1.0,40.66284,-73.75732,t,28,58,88,363,5,0,0,5.0,5.0,5.0,5.0,0.11,181.0,0.5,2.0,0.022,0.0771349862258953,1.0,5.0,412,68,41,11,2624.0,998.0,728.0
Entire home/apt,4,1.0,1.0,0.0,within an hour,f,16.0,20.0,45.4785333,9.2141232,t,16,34,34,34,14,14,0,4.71,4.86,4.93,4.64,1.23,108.0,0.0,4.0,0.0878571428571428,0.4705882352941176,0.8,4.785,478,84,36,18,2897.0,-98.0,-301.0
Entire home/apt,4,2.0,2.0,3.0,within a few hours,t,2.0,2.0,-22.96954,-43.39274,t,4,14,34,171,11,11,2,4.91,4.91,5.0,4.91,2.54,657.0,0.75,2.0,0.2309090909090909,0.023391812865497,1.0,4.9325,494,72,27,18,530.0,-232.0,-343.0
Entire home/apt,4,1.0,2.0,3.0,,f,1.0,1.0,37.96592,23.72293,t,21,47,70,332,4,0,0,4.5,4.5,4.25,4.5,0.23,71.0,0.75,2.0,0.0575,0.0632530120481927,1.0,4.4375,460,73,21,18,192.0,156.0,76.0
Entire home/apt,10,3.0,5.0,7.0,within an hour,t,746.0,866.0,36.41814,28.13985,t,0,0,0,132,6,1,0,4.33,3.67,4.67,4.17,0.2,438.0,0.7,2.0,0.0333333333333333,0.0,0.8614318706697459,4.21,306,55,55,12,4064.0,534.0,-183.0
Private room,2,1.0,1.0,1.0,,f,1.0,1.0,40.77369,-73.99237,t,30,60,90,365,7,0,0,4.71,4.57,4.57,5.0,0.08,128.0,0.5,2.0,0.0114285714285714,0.0821917808219178,1.0,4.7125,453,89,17,21,2386.0,2319.0,2047.0
Entire home/apt,4,1.0,1.0,2.0,within an hour,f,21.0,21.0,53.47503697770173,-2.2811876765332366,t,26,56,86,93,3,3,3,4.33,5.0,5.0,5.0,3.0,127.0,0.5,4.0,1.0,0.2795698924731182,1.0,4.8325,558,78,43,25,11.0,-349.0,-357.0
Entire home/apt,4,1.0,2.0,2.0,within an hour,t,1.0,1.0,53.39258,-2.35295,t,23,50,80,168,151,39,2,4.95,4.93,4.97,4.87,3.86,139.0,0.5,2.0,0.0255629139072847,0.1369047619047619,1.0,4.93,493,74,48,12,3023.0,813.0,-344.0
Entire home/apt,3,1.0,1.0,0.0,within an hour,t,8.0,9.0,37.96150233976639,23.72667301591748,t,21,51,81,356,19,19,0,4.89,4.89,4.63,4.89,2.51,48.0,0.0,3.0,0.1321052631578947,0.0589887640449438,0.8888888888888888,4.825,485,80,34,12,46.0,-133.0,-328.0
Private room,1,1.5,1.0,1.0,a few days or more,f,2.0,2.0,41.38211,2.16657,t,29,59,89,364,0,0,0,,,,,,30.0,1.0,1.0,,0.0796703296703296,1.0,,375,63,3,27,1482.0,,
Private room,1,1.0,1.0,1.0,within a day,f,2.0,2.0,46.52823,6.61812,t,0,18,48,287,7,2,0,5.0,4.86,4.86,4.86,0.25,60.0,1.0,1.0,0.0357142857142857,0.0,1.0,4.895,155,29,59,33,2422.0,426.0,-260.0
Private room,3,1.0,1.0,3.0,within an hour,t,1.0,1.0,39.66552734375,-105.01959991455078,t,30,60,90,180,29,5,0,4.86,4.97,4.62,4.76,0.87,74.0,1.0,3.0,0.03,0.1666666666666666,1.0,4.8025,509,91,54,20,698.0,638.0,-245.0
Entire home/apt,4,1.0,2.0,2.0,within a day,f,38.0,63.0,40.42615,-3.69804,t,0,0,0,146,0,0,0,,,,,,92.0,0.5,2.0,,0.0,0.6031746031746031,,151,22,29,25,1035.0,,
Private room,6,1.0,2.0,2.0,within a day,f,11.0,11.0,51.53974,-0.13817,t,17,21,21,257,94,17,1,4.74,4.67,4.86,4.68,1.01,123.0,0.3333333333333333,3.0,0.0107446808510638,0.0661478599221789,1.0,4.7375,525,95,40,20,3581.0,2458.0,-320.0
Private room,2,1.0,1.0,1.0,within an hour,f,7.0,61.0,39.75241622156344,-104.99996697383968,t,29,59,89,364,12,12,1,4.83,4.67,4.92,4.75,1.48,86.0,0.5,2.0,0.1233333333333333,0.0796703296703296,0.1147540983606557,4.7925,207,30,33,27,686.0,-123.0,-358.0
Entire home/apt,4,1.0,2.0,3.0,within an hour,f,3.0,3.0,53.76620819999999,-9.8093772,t,16,46,76,264,17,17,1,4.76,4.88,4.94,4.59,1.62,81.0,0.75,2.0,0.0952941176470588,0.0606060606060606,1.0,4.7925,429,69,19,11,152.0,-33.0,-325.0
Entire home/apt,3,0.5,0.0,3.0,within an hour,t,2.0,2.0,33.87363,-118.19465,t,0,0,27,117,43,3,0,4.98,4.93,4.88,5.0,0.77,76.0,1.0,,0.017906976744186,0.0,1.0,4.9475,246,49,47,17,1739.0,1253.0,-304.0
Entire home/apt,8,3.0,4.0,6.0,within an hour,f,24.0,46.0,42.31951,2.87967,t,25,55,85,217,4,4,0,5.0,5.0,5.0,5.0,0.51,387.0,0.75,2.0,0.1275,0.1152073732718894,0.5217391304347826,5.0,487,79,34,16,2915.0,-132.0,-232.0
Entire home/apt,3,1.0,2.0,1.0,within a day,f,1.0,2.0,55.69886,12.52813,t,27,56,86,129,22,0,0,4.77,4.77,4.5,4.5,0.28,571.0,0.3333333333333333,1.5,0.0127272727272727,0.2093023255813953,0.5,4.635,28,3,17,18,3066.0,1985.0,127.0
Entire home/apt,5,1.0,1.0,3.0,within an hour,f,1.0,1.0,34.16934413669366,-118.52599575915612,t,30,60,90,270,0,0,0,,,,,,88.0,0.6,5.0,,0.1111111111111111,1.0,,499,89,19,18,164.0,,
Entire home/apt,8,2.5,3.0,5.0,within an hour,f,57.0,230.0,-38.37335586547852,144.77853393554688,t,0,0,0,0,0,0,0,,,,,,965.0,0.625,2.6666666666666665,,,0.2478260869565217,,225,32,58,11,3154.0,,
Entire home/apt,2,1.0,1.0,1.0,within an hour,t,1.0,1.0,41.14434101991184,-8.613622775279312,t,0,11,20,260,18,18,3,4.94,5.0,5.0,5.0,4.7,120.0,0.5,2.0,0.2611111111111111,0.0,1.0,4.985,317,54,30,18,-304.0,-319.0,-427.0
Private room,3,1.0,1.0,1.0,,f,1.0,1.0,40.17515,18.17439,t,30,60,90,365,5,0,0,3.8,3.8,4.6,3.8,0.17,70.0,0.3333333333333333,3.0,0.034,0.0821917808219178,1.0,4.0,324,57,19,27,1397.0,505.0,477.0
Entire home/apt,4,1.0,2.0,4.0,within a day,t,7.0,7.0,41.70131,2.84691,t,27,57,87,362,6,1,0,4.67,5.0,5.0,4.67,0.13,154.0,1.0,2.0,0.0216666666666666,0.074585635359116,1.0,4.835,336,52,16,18,2336.0,1002.0,-125.0
Entire home/apt,2,1.0,1.0,1.0,,f,1.0,1.0,48.8525722,2.3100785,t,0,0,0,94,0,0,0,,,,,,180.0,0.5,2.0,,0.0,1.0,,499,78,40,18,177.0,,
Entire home/apt,4,0.0,2.0,2.0,within a day,f,2.0,3.0,48.8937302,2.3128019,t,20,20,20,270,0,0,0,,,,,,150.0,0.5,2.0,,0.074074074074074,0.6666666666666666,,180,32,11,12,3474.0,,
Entire home/apt,6,2.0,2.0,3.0,within an hour,f,65.0,86.0,26.30233926932896,-80.1292303491556,t,3,33,63,337,2,2,2,5.0,5.0,5.0,5.0,2.0,162.0,0.5,3.0,1.0,0.0089020771513353,0.7558139534883721,5.0,464,72,42,18,246.0,-343.0,-353.0
Entire home/apt,2,1.0,0.0,1.0,within a few hours,t,19.0,22.0,51.52314,-0.14075,t,29,59,89,269,1,1,0,5.0,5.0,5.0,5.0,0.73,95.0,0.5,,0.73,0.1078066914498141,0.8636363636363636,5.0,560,88,22,18,714.0,-306.0,-306.0
Entire home/apt,5,0.0,3.0,2.0,within an hour,f,1.0,2.0,48.87483839974525,2.3920324180619925,t,10,18,31,96,11,6,1,4.91,5.0,4.91,4.91,0.73,200.0,0.4,1.6666666666666667,0.0663636363636363,0.1041666666666666,0.5,4.9325,455,74,55,18,3514.0,113.0,-314.0
Entire home/apt,2,1.5,1.0,1.0,within an hour,f,1.0,2.0,-23.02881206498806,-43.47875165967549,t,7,30,60,60,11,10,0,4.91,4.91,4.91,4.91,0.81,600.0,0.5,2.0,0.0736363636363636,0.1166666666666666,0.5,4.91,468,68,23,18,56.0,43.0,-329.0
Entire home/apt,5,1.0,3.0,3.0,within an hour,f,1.0,2.0,-26.769475347197176,153.12751106908203,t,0,0,12,13,1,1,0,5.0,5.0,5.0,5.0,0.55,250.0,0.6,1.6666666666666667,0.55,0.0,0.5,5.0,497,82,25,11,1709.0,-365.0,-365.0
Entire home/apt,4,1.0,1.0,2.0,within an hour,t,33.0,39.0,32.88972,-96.7667,t,2,2,2,2,13,13,3,4.0,4.08,4.0,4.08,3.1,97.0,0.5,4.0,0.2384615384615384,1.0,0.8461538461538461,4.04,462,74,44,18,1562.0,-313.0,-423.0
Entire home/apt,6,2.0,3.0,3.0,within an hour,f,2.0,4.0,-33.8938460592425,151.1435009358031,t,17,30,31,31,1,1,1,5.0,5.0,5.0,5.0,1.0,482.0,0.5,2.0,1.0,0.5483870967741935,0.5,5.0,528,78,62,18,2572.0,-404.0,-404.0
Entire home/apt,5,1.0,2.0,4.0,within an hour,t,26.0,29.0,37.999111,23.76605,t,14,44,50,50,227,68,5,4.84,4.85,4.67,4.76,5.2,75.0,0.8,2.5,0.0229074889867841,0.28,0.896551724137931,4.779999999999999,431,76,48,12,3204.0,949.0,-354.0
Private room,2,1.0,1.0,,a few days or more,,63.0,73.0,35.92035,14.49301,t,29,59,89,364,0,0,0,,,,,,200.0,,2.0,,0.0796703296703296,0.863013698630137,,505,88,34,13,1064.0,,
Entire home/apt,4,2.0,2.0,2.0,a few days or more,f,1.0,1.0,51.50944309269289,0.0157797548741571,t,30,60,90,365,0,0,0,,,,,,290.0,0.5,2.0,,0.0821917808219178,1.0,,149,26,7,18,539.0,,
Entire home/apt,4,2.0,2.0,1.0,within an hour,f,4.0,9.0,-37.85244,145.04358,t,0,0,0,0,0,0,0,,,,,,324.0,0.25,2.0,,,0.4444444444444444,,434,70,30,18,1169.0,,
Entire home/apt,2,1.0,1.0,1.0,within a day,t,1.0,1.0,-34.142157196413905,18.425499871373177,t,17,18,18,259,39,13,1,4.9,4.87,4.97,4.97,1.69,850.0,0.5,2.0,0.0433333333333333,0.0656370656370656,1.0,4.927499999999999,446,73,51,18,336.0,330.0,-332.0
Entire home/apt,4,1.0,2.0,2.0,,f,3629.0,3647.0,44.84717,-0.58045,t,19,38,68,309,1,1,0,4.0,4.0,5.0,4.0,0.61,106.0,0.5,2.0,0.61,0.0614886731391585,0.9950644365231698,4.25,423,68,32,18,1411.0,-384.0,-384.0
Entire home/apt,2,1.0,1.0,1.0,within an hour,f,4.0,87.0,-33.84745,151.20515,t,3,14,44,238,33,4,0,4.39,4.3,4.97,4.39,0.39,145.0,0.5,2.0,0.0118181818181818,0.0126050420168067,0.0459770114942528,4.5125,503,92,23,18,3981.0,2094.0,-391.0
Private room,2,1.0,1.0,1.0,within an hour,t,2.0,3.0,-22.98184,-43.19463,t,25,55,78,82,166,6,0,4.86,4.73,4.8,4.82,1.15,514.0,0.5,2.0,0.0069277108433734,0.3048780487804878,0.6666666666666666,4.8025,116,19,20,27,4010.0,3969.0,-125.0
Entire home/apt,4,2.0,2.0,4.0,within an hour,f,17.0,17.0,-26.4049308,153.1121695,t,26,35,58,186,0,0,0,,,,,,433.0,1.0,2.0,,0.1397849462365591,1.0,,451,76,1,18,2166.0,,
Entire home/apt,4,2.0,1.0,1.0,within an hour,t,31.0,43.0,21.00165,-156.660795,t,20,36,64,338,70,1,1,4.96,4.93,4.99,4.9,0.78,436.0,0.25,4.0,0.0111428571428571,0.059171597633136,0.7209302325581395,4.945,395,64,34,12,2461.0,2238.0,-411.0
Private room,1,1.0,1.0,1.0,within an hour,t,8.0,11.0,48.87537,2.3183265,t,2,4,5,83,3,3,0,4.33,4.67,4.67,4.33,0.29,121.0,1.0,1.0,0.0966666666666666,0.0240963855421686,0.7272727272727273,4.5,393,57,12,13,1574.0,-30.0,-286.0
Entire home/apt,4,1.0,1.0,2.0,,f,1.0,2.0,48.8610543,2.3442705,t,6,35,63,316,4,0,0,4.75,4.5,5.0,4.5,0.21,345.0,0.5,4.0,0.0525,0.0189873417721519,0.5,4.6875,0,0,51,18,3685.0,215.0,183.0
Entire home/apt,4,1.0,2.0,3.0,,t,1.0,1.0,41.46865,-71.51363,t,0,0,11,286,27,8,0,4.89,4.81,4.93,4.93,1.34,225.0,0.75,2.0,0.0496296296296296,0.0,1.0,4.89,230,40,61,9,3100.0,239.0,-234.0
Entire home/apt,2,1.0,1.0,1.0,within a day,f,2.0,2.0,52.5471458,13.4100408,t,30,60,90,365,0,0,0,,,,,,80.0,0.5,2.0,,0.0821917808219178,1.0,,442,67,53,18,3597.0,,
Private room,2,1.0,1.0,1.0,within a few hours,f,3.0,5.0,35.917,14.50239,t,0,0,0,32,16,16,0,4.56,4.19,4.81,4.63,2.76,41.0,0.5,2.0,0.1725,0.0,0.6,4.547499999999999,309,52,19,27,6.0,-186.0,-312.0
Entire home/apt,8,2.0,4.0,4.0,within an hour,t,2.0,2.0,37.84548766673314,-122.2726928888712,t,20,48,72,315,64,39,1,4.98,4.95,4.59,4.92,3.64,275.0,0.5,2.0,0.056875,0.0634920634920634,1.0,4.859999999999999,524,84,33,11,196.0,170.0,-335.0
Entire home/apt,6,2.0,2.0,4.0,within an hour,f,415.0,557.0,20.71385,-156.44574,t,21,42,59,328,18,2,0,4.33,4.44,4.5,4.22,0.21,332.0,0.6666666666666666,3.0,0.0116666666666666,0.0640243902439024,0.7450628366247756,4.3725,260,37,33,12,2411.0,2084.0,-172.0
Entire home/apt,2,1.0,0.0,1.0,within an hour,t,1.0,1.0,37.82256,-122.19684,t,3,10,30,30,235,11,0,4.99,4.99,4.95,4.95,2.73,125.0,0.5,,0.0116170212765957,0.1,1.0,4.97,530,77,36,17,3797.0,2226.0,-325.0
Private room,3,1.0,1.0,1.0,within an hour,f,30.0,31.0,48.1355396,11.523874,t,25,55,85,356,0,0,0,,,,,,98.0,0.3333333333333333,3.0,,0.0702247191011236,0.967741935483871,,514,84,32,13,2790.0,,
Entire home/apt,6,2.0,2.0,2.0,within a day,f,1.0,1.0,48.88277573645497,-123.53333208308104,t,0,0,0,187,0,0,0,,,,,,176.0,0.3333333333333333,3.0,,0.0,1.0,,505,83,22,11,1213.0,,
Entire home/apt,2,1.0,1.0,1.0,within an hour,f,20.0,21.0,40.41831,-3.67688,t,18,36,66,190,27,25,2,4.56,4.41,4.93,4.19,2.13,108.0,0.5,2.0,0.0788888888888888,0.0947368421052631,0.9523809523809524,4.5225,430,75,37,11,333.0,-49.0,-412.0
Entire home/apt,5,1.0,3.0,3.0,within an hour,f,1.0,1.0,44.88893,-0.50802,t,0,0,10,219,13,13,0,4.62,4.38,4.54,4.54,1.77,87.0,0.6,1.6666666666666667,0.1361538461538461,0.0,1.0,4.52,305,49,38,11,-198.0,-217.0,-377.0
Private room,2,1.5,1.0,1.0,within an hour,f,2.0,2.0,41.9383905,2.8398414,t,0,0,0,153,19,9,0,4.84,4.79,4.79,4.79,0.99,35.0,0.5,2.0,0.0521052631578947,0.0,1.0,4.802499999999999,151,26,8,20,3659.0,211.0,-273.0
Entire home/apt,4,1.0,1.0,2.0,,f,2.0,2.0,32.74428,-117.2538,t,24,50,80,160,5,5,2,5.0,5.0,4.8,4.8,1.63,185.0,0.5,4.0,0.3259999999999999,0.15,1.0,4.9,307,52,57,11,2765.0,-266.0,-343.0
Entire home/apt,4,2.0,2.0,2.0,within a few hours,f,13.0,21.0,-33.90721354733498,151.20605738519578,t,1,1,2,277,0,0,0,,,,,,217.0,0.5,2.0,,0.003610108303249,0.6190476190476191,,213,34,31,18,1545.0,,
Entire home/apt,4,1.5,2.0,2.0,within an hour,t,1.0,1.0,40.72942,-74.00426,t,30,60,90,270,171,2,0,4.89,4.85,4.82,4.62,2.01,490.0,0.5,2.0,0.0117543859649122,0.1111111111111111,1.0,4.795,100,16,42,18,2163.0,2122.0,-304.0
Private room,2,1.0,1.0,1.0,within a few hours,t,2.0,2.0,39.45468423124213,-0.3908617418497913,t,22,49,79,79,73,26,0,4.84,4.79,4.62,4.82,2.98,89.0,0.5,2.0,0.0408219178082191,0.2784810126582278,1.0,4.7675,483,86,48,27,655.0,295.0,-337.0
Entire home/apt,9,3.0,4.0,5.0,within an hour,f,2.0,2.0,37.5599502,25.193622,t,0,0,0,224,6,0,0,5.0,5.0,5.0,5.0,0.2,348.0,0.5555555555555556,2.25,0.0333333333333333,0.0,1.0,5.0,405,65,69,12,577.0,545.0,107.0
Entire home/apt,9,4.5,5.0,10.0,within an hour,t,2.0,2.0,30.29046,-97.76824,t,20,50,80,167,27,1,0,4.96,4.93,4.89,5.0,0.28,669.0,1.1111111111111112,1.8,0.0103703703703703,0.1197604790419161,1.0,4.945,459,75,21,11,2466.0,2444.0,-133.0
Entire home/apt,4,1.0,1.0,2.0,within an hour,f,1.0,1.0,34.144990016973686,-118.34343334161206,t,18,38,66,241,32,32,5,4.91,4.91,4.88,4.91,5.39,154.0,0.5,4.0,0.1684375,0.0746887966804979,1.0,4.9025,438,75,37,18,1218.0,-250.0,-412.0
Private room,2,1.0,1.0,1.0,within a few hours,f,1.0,5.0,40.41036957839372,-3.7314228994696026,t,22,52,82,357,2,2,1,5.0,5.0,5.0,4.5,1.54,32.0,0.5,2.0,0.77,0.0616246498599439,0.2,4.875,161,28,7,27,2195.0,-391.0,-407.0
Entire home/apt,9,1.0,4.0,6.0,,f,1.0,1.0,41.18875,-8.65404,t,0,0,0,0,44,1,0,4.55,4.59,4.64,4.41,0.52,200.0,0.6666666666666666,2.25,0.0118181818181818,,1.0,4.5475,548,95,30,16,2181.0,2102.0,-210.0
Entire home/apt,4,1.0,2.0,3.0,,f,1.0,1.0,38.80048703067776,15.2384826913476,t,2,29,59,273,3,3,0,5.0,5.0,5.0,4.0,0.33,146.0,0.75,2.0,0.11,0.0073260073260073,1.0,4.75,549,90,40,11,3394.0,-96.0,-221.0
Entire home/apt,6,1.0,1.0,1.0,within an hour,f,7.0,46.0,21.28712,-157.72238,t,30,60,90,365,6,0,0,4.83,5.0,4.83,4.5,0.19,198.0,0.1666666666666666,6.0,0.0316666666666666,0.0821917808219178,0.1521739130434782,4.79,455,77,65,16,2207.0,519.0,73.0
Entire home/apt,4,1.0,2.0,3.0,within an hour,,9.0,15.0,19.4497998,-99.1905001,t,15,25,32,298,71,36,0,4.93,4.93,4.59,4.83,2.33,810.0,0.75,2.0,0.0328169014084507,0.0503355704697986,0.6,4.82,381,60,60,25,2974.0,551.0,-328.0
Entire home/apt,4,1.0,1.0,2.0,,f,1.0,1.0,-22.961509338779152,-43.21670228269028,,0,3,33,308,0,0,0,,,,,,799.0,0.5,4.0,,0.0,1.0,,482,77,51,12,2857.0,,
Entire home/apt,2,1.0,1.0,1.0,within an hour,t,1.0,1.0,26.1073694,-80.18722319999999,t,19,46,76,350,11,11,1,4.91,4.82,4.82,4.82,1.1,73.0,0.5,2.0,0.1,0.0542857142857142,1.0,4.8425,422,67,23,17,743.0,-61.0,-350.0
Entire home/apt,4,2.0,2.0,2.0,within an hour,t,2.0,3.0,20.72429,-156.44709,t,3,9,27,116,136,28,4,4.93,4.9,4.96,4.83,3.51,220.0,0.5,2.0,0.0258088235294117,0.0258620689655172,0.6666666666666666,4.904999999999999,472,81,64,12,3429.0,726.0,-414.0
Entire home/apt,4,4.0,4.0,5.0,within an hour,f,1.0,1.0,53.85694,-7.91653,t,30,60,90,270,7,7,0,5.0,5.0,5.0,5.0,1.43,229.0,1.25,1.0,0.2042857142857142,0.1111111111111111,1.0,5.0,302,50,41,11,-69.0,-200.0,-258.0
Private room,2,1.0,1.0,1.0,within a few hours,f,1.0,2.0,26.00988441172233,-80.14962778213244,t,21,51,81,355,0,0,0,,,,,,69.0,0.5,2.0,,0.0591549295774647,0.5,,258,46,9,27,700.0,,
Entire home/apt,14,2.5,5.0,5.0,within an hour,t,2.0,3.0,45.1509587,-93.0683217,t,9,31,41,175,2,2,2,4.5,5.0,5.0,5.0,2.0,281.0,0.3571428571428571,2.8,1.0,0.0514285714285714,0.6666666666666666,4.875,371,58,55,11,2694.0,-427.0,-433.0
Entire home/apt,2,1.0,1.0,1.0,within a day,t,2.0,3.0,48.86977,2.31009,t,11,29,59,334,59,14,0,4.97,4.92,5.0,4.78,1.97,333.0,0.5,2.0,0.0333898305084745,0.0329341317365269,0.6666666666666666,4.9175,408,60,49,18,3498.0,554.0,-299.0
Entire home/apt,3,2.0,3.0,3.0,within a day,f,23.0,69.0,37.79625,-122.43662,t,29,59,89,364,0,0,0,,,,,,875.0,1.0,1.0,,0.0796703296703296,0.3333333333333333,,272,37,23,18,3561.0,,
Entire home/apt,2,1.0,1.0,1.0,within an hour,f,1.0,1.0,46.1990862,6.160401999999999,t,0,0,12,12,0,0,0,,,,,,70.0,0.5,2.0,,0.0,1.0,,278,43,26,18,1532.0,,
Private room,16,2.0,2.0,16.0,within an hour,f,5.0,6.0,53.39977,-6.258,t,30,60,90,270,0,0,0,,,,,,200.0,1.0,8.0,,0.1111111111111111,0.8333333333333334,,78,13,2,20,67.0,,
Entire home/apt,2,1.0,1.0,1.0,within an hour,f,480.0,578.0,45.4780832,9.1896994,t,5,26,51,142,3,0,0,3.33,4.33,4.0,3.33,0.14,90.0,0.5,2.0,0.0466666666666666,0.0352112676056338,0.8304498269896193,3.7475,495,75,35,12,3244.0,218.0,159.0
Entire home/apt,4,1.0,2.0,2.0,within a day,f,850.0,891.0,48.8486868,2.2643467,t,30,51,51,272,0,0,0,,,,,,159.0,0.5,2.0,,0.1102941176470588,0.9539842873176206,,311,49,28,18,1487.0,,
Private room,2,1.0,1.0,1.0,within an hour,f,5.0,9.0,51.51831,-0.05678,t,4,34,64,64,97,29,1,4.56,4.39,4.52,4.54,3.52,60.0,0.5,2.0,0.0362886597938144,0.0625,0.5555555555555556,4.5024999999999995,520,87,43,21,1935.0,480.0,-330.0
Entire home/apt,12,1.0,3.0,4.0,within an hour,f,29.0,32.0,51.48416437479626,-2.5707855345480426,t,17,47,77,352,0,0,0,,,,,,83.0,0.3333333333333333,4.0,,0.0482954545454545,0.90625,,346,49,33,11,-349.0,,
Private room,3,1.0,1.0,2.0,within an hour,f,20.0,22.0,41.39085,2.1677,t,20,50,80,355,11,11,3,4.55,4.55,4.82,4.64,2.73,82.0,0.6666666666666666,3.0,0.2481818181818181,0.056338028169014,0.9090909090909092,4.64,342,60,11,27,-291.0,-309.0,-413.0
Entire home/apt,8,3.5,3.0,3.0,within an hour,f,1.0,1.0,51.49979,-0.16661,t,4,18,28,98,99,38,3,4.62,4.27,4.99,4.56,3.34,384.0,0.375,2.6666666666666665,0.0337373737373737,0.0408163265306122,1.0,4.61,523,88,42,11,1754.0,542.0,-344.0
Entire home/apt,3,1.0,1.0,2.0,within an hour,f,1.0,1.0,45.47233,-122.64614,t,15,31,43,123,78,18,0,4.99,4.99,4.99,4.95,1.81,95.0,0.6666666666666666,3.0,0.0232051282051282,0.1219512195121951,1.0,4.98,493,85,46,17,939.0,862.0,-334.0
Entire home/apt,4,2.0,2.0,2.0,within an hour,t,4.0,32.0,41.38766,2.17049,t,13,16,27,237,39,39,2,4.85,4.92,4.95,4.72,3.48,230.0,0.5,2.0,0.0892307692307692,0.0548523206751054,0.125,4.859999999999999,184,32,53,18,3983.0,-96.0,-415.0
Private room,2,1.5,1.0,2.0,,f,6.0,6.0,43.74213,-79.2323,t,0,0,0,0,2,2,0,4.0,4.0,3.5,4.0,0.25,123.0,1.0,2.0,0.125,,1.0,3.875,494,86,49,27,-156.0,-193.0,-201.0
Entire home/apt,2,1.0,1.0,1.0,within an hour,t,4.0,10.0,52.5476,13.34375,t,12,30,60,150,109,12,0,4.9,4.72,4.71,4.7,1.18,85.0,0.5,2.0,0.0108256880733944,0.08,0.4,4.7575,159,24,43,18,2696.0,2409.0,-302.0
Entire home/apt,5,1.0,2.0,3.0,within an hour,,29.0,30.0,44.49686518346672,11.337483846032727,t,5,14,29,197,0,0,0,,,,,,139.0,0.6,2.5,,0.0253807106598984,0.9666666666666668,,490,73,33,20,65.0,,
Entire home/apt,2,1.0,1.0,1.0,within an hour,f,1.0,1.0,26.005203977499896,-80.1358391757434,t,14,34,63,149,9,9,2,5.0,5.0,5.0,5.0,3.07,79.0,0.5,2.0,0.3411111111111111,0.0939597315436241,1.0,5.0,251,42,9,17,780.0,-273.0,-356.0
Entire home/apt,6,1.0,3.0,4.0,within an hour,t,2.0,2.0,45.69699073849982,9.682201261376964,t,13,28,43,233,18,7,0,4.94,4.83,4.72,4.83,0.81,148.0,0.6666666666666666,2.0,0.045,0.055793991416309,1.0,4.83,235,44,47,12,2006.0,302.0,-264.0
Entire home/apt,2,1.0,1.0,1.0,within an hour,t,2.0,2.0,51.50281571427398,-0.2401277795433998,t,1,1,1,1,7,7,0,4.57,4.29,4.71,4.43,0.79,68.0,0.5,2.0,0.1128571428571428,1.0,1.0,4.5,301,49,42,12,2899.0,-81.0,-293.0
Entire home/apt,2,1.0,1.0,1.0,within an hour,,2.0,2.0,37.980688,23.7579735,t,30,60,90,365,6,6,0,4.5,4.5,4.5,4.33,0.96,49.0,0.5,2.0,0.16,0.0821917808219178,1.0,4.4575,351,54,23,18,-157.0,-172.0,-272.0
Entire home/apt,3,1.0,2.0,1.0,within an hour,f,7.0,7.0,40.92327,-8.27616,t,29,59,89,298,1,0,0,5.0,5.0,5.0,4.0,0.02,240.0,0.3333333333333333,1.5,0.02,0.0973154362416107,1.0,4.75,314,57,12,18,3399.0,1170.0,1170.0
