property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_listings_count,host_total_listings_count,latitude,longitude,city,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,description_char_len,description_word_count,amenities_char_len,amenities_item_count,bathrooms_per_bedroom,accommodates_per_bedroom,beds_per_bedroom,availability_30_share,review_scores_avg_quality,reviews_activity_ratio
Entire villa,Entire home/apt,9,1.5,3.0,5.0,60.0,96.0,35.3159,25.38666,Crete,t,27,57,87,259,3,0,0,4.67,4.33,4.33,4.67,0.1,360.0,332,58,579,38,0.5,3.0,1.6666666666666667,0.1042471042471042,4.5,30.0
Entire guest suite,Entire home/apt,3,1.0,1.0,2.0,1.0,1.0,19.3527171,-99.1939505,Mexico City,t,5,7,33,213,7,7,1,5.0,5.0,5.0,5.0,2.41,870.0,495,74,1050,52,1.0,3.0,2.0,0.0234741784037558,5.0,2.904564315352697
Entire vacation home,Entire home/apt,2,1.0,1.0,1.0,1.0,1.0,-34.97212,117.30911,Western Australia,t,7,25,38,127,84,27,1,4.95,4.98,4.96,4.7,2.6,469.0,500,77,932,50,1.0,2.0,1.0,0.0551181102362204,4.965,32.30769230769231
Entire villa,Entire home/apt,4,1.0,2.0,3.0,2.0,2.0,37.00531,15.32188,Sicily,t,17,43,51,261,156,27,0,4.91,4.94,4.81,4.85,1.51,139.0,225,36,1433,74,0.5,2.0,1.5,0.0651340996168582,4.925000000000001,103.3112582781457
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,2.0,2.0,39.83858,3.12419,Mallorca,t,7,25,45,144,105,24,1,4.85,4.9,4.97,4.74,0.9,100.0,206,28,1173,62,0.5,2.0,1.0,0.0486111111111111,4.875,116.66666666666666
Private room in home,Private room,2,1.0,1.0,1.0,35.0,35.0,51.508426738756334,-0.340433945269202,London,t,21,51,81,356,0,0,0,4.86,4.87,4.88,4.77,0.87,65.0,510,83,344,18,1.0,2.0,1.0,0.0589887640449438,4.855,27.85923753665689
Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,449.0,961.0,38.0815791,12.6869024,Sicily,t,30,60,90,365,2,1,0,4.5,5.0,4.5,4.5,0.07,47.0,416,68,367,25,1.0,4.0,3.0,0.0821917808219178,4.75,28.57142857142857
Entire bungalow,Entire home/apt,3,1.0,1.0,2.0,3.0,3.0,34.05285,-118.18046,Los Angeles,t,21,51,81,149,12,12,4,5.0,5.0,4.83,4.92,2.75,140.0,500,77,1021,53,1.0,3.0,2.0,0.1409395973154362,5.0,4.363636363636363
Entire rental unit,Entire home/apt,8,1.0,3.0,3.0,2.0,2.0,51.47005,-0.16076,London,t,17,31,55,212,5,4,0,4.4,4.0,4.4,4.6,0.41,499.0,513,85,585,36,0.3333333333333333,2.6666666666666665,1.0,0.080188679245283,4.2,12.195121951219512
Entire condo,Entire home/apt,4,1.0,1.0,2.0,1.0,1.0,55.95146933163674,-3.184158047359115,Edinburgh,t,0,0,0,180,0,0,0,4.86,4.87,4.88,4.77,0.87,246.0,493,78,817,42,1.0,4.0,2.0,0.0,4.855,27.85923753665689
Private room in rental unit,Private room,1,1.0,1.0,1.0,1.0,1.0,48.88678504504925,2.3481738749330403,Paris,missing,1,24,54,54,0,0,0,4.86,4.87,4.88,4.77,0.87,60.0,0,0,58,5,1.0,1.0,1.0,0.0185185185185185,4.855,27.85923753665689
Entire home,Entire home/apt,10,2.0,5.0,8.0,3.0,4.0,38.70558,-9.39422,Lisbon,t,2,2,2,2,11,3,0,4.73,4.64,5.0,4.73,0.24,299.0,500,87,650,38,0.4,2.0,1.6,1.0,4.6850000000000005,45.833333333333336
Entire condo,Entire home/apt,4,1.0,1.0,1.0,1.0,1.0,45.434338,12.348248,Venice,t,15,18,21,74,120,37,0,4.81,4.89,4.95,4.78,3.38,77.0,212,31,825,40,1.0,4.0,1.0,0.2027027027027027,4.85,35.50295857988166
Entire rental unit,Entire home/apt,5,2.0,2.0,4.0,8.0,8.0,35.9213869,14.4903171,Malta,t,0,0,25,148,40,13,1,4.8,4.75,4.8,4.85,1.33,120.0,470,82,1265,60,1.0,2.5,2.0,0.0,4.775,30.075187969924812
Entire villa,Entire home/apt,4,2.0,2.0,2.0,26.0,33.0,35.03748,24.78178,Crete,t,30,60,90,323,2,2,0,5.0,5.0,5.0,5.0,0.41,430.0,486,77,993,53,1.0,2.0,1.0,0.0928792569659442,5.0,4.878048780487805
Entire condo,Entire home/apt,4,1.0,1.0,2.0,775.0,1110.0,41.2734692,16.4255023,Puglia,t,29,59,89,364,1,1,0,5.0,5.0,5.0,5.0,0.22,75.0,433,73,399,20,1.0,4.0,2.0,0.0796703296703296,5.0,4.545454545454546
Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,2.0,2.0,32.82051,-96.82818,Dallas,t,0,0,0,0,25,25,2,5.0,4.96,4.8,4.84,3.57,163.0,510,74,1097,57,1.0,4.0,1.0,0.0732394366197183,4.98,7.002801120448179
Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,1.0,1.0,48.12022,11.63181,Munich,t,4,34,64,64,21,13,0,4.86,4.9,4.71,4.76,1.33,108.0,352,56,45,4,1.0,3.0,1.0,0.0625,4.880000000000001,15.789473684210526
Entire rental unit,Entire home/apt,2,1.5,0.0,1.0,103.0,151.0,48.89037,2.34345,Paris,t,21,26,48,315,6,6,5,3.67,3.83,4.33,3.33,4.86,65.0,268,42,886,43,1.0,2.0,1.0,0.0666666666666666,3.75,1.2345679012345678
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,345.0,386.0,41.43128,2.17784,Barcelona,t,6,12,33,308,122,19,0,4.65,4.6,4.56,4.48,1.8,94.0,515,90,377,27,0.5,2.0,1.0,0.0194805194805194,4.625,67.77777777777777
Private room in home,Private room,2,1.0,1.0,1.0,4.0,7.0,43.74196998830655,-79.32133084420758,Toronto,t,1,31,61,335,0,0,0,4.86,4.87,4.88,4.77,0.87,35.0,493,77,503,32,1.0,2.0,1.0,0.0029850746268656,4.855,27.85923753665689
Private room in rental unit,Private room,2,1.0,1.0,1.0,2.0,2.0,35.89183,14.49241,Malta,t,23,53,83,83,2,2,0,5.0,5.0,4.5,5.0,0.55,30.0,477,74,588,33,1.0,2.0,1.0,0.2771084337349397,5.0,3.636363636363636
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,7.0,7.0,41.70082,2.8376,Girona,t,11,11,12,287,0,0,0,4.86,4.87,4.88,4.77,0.87,87.0,153,27,454,29,1.0,4.0,2.0,0.0383275261324041,4.855,27.85923753665689
Private room in home,Private room,1,1.0,1.0,1.0,1.0,1.0,-34.13879,18.42142,Cape Town,t,28,58,88,363,0,0,0,4.86,4.87,4.88,4.77,0.87,617.0,49,9,680,38,1.0,1.0,1.0,0.0771349862258953,4.855,27.85923753665689
Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,5.0,6.0,36.76884,14.63515,Sicily,t,24,54,84,359,3,1,0,4.33,4.33,4.0,4.33,0.03,90.0,222,36,344,21,0.5,2.0,1.5,0.0668523676880222,4.33,100.0
Private room in home,Private room,2,1.0,1.0,1.0,1.0,1.0,34.1087,-118.38772,Los Angeles,t,30,60,89,89,0,0,0,4.86,4.87,4.88,4.77,0.87,102.0,0,0,402,23,1.0,2.0,1.0,0.3370786516853932,4.855,27.85923753665689
Entire rental unit,Entire home/apt,3,1.0,2.0,3.0,19.0,20.0,43.32413,-1.97191,Euskadi,t,27,57,87,270,10,10,0,4.2,4.4,4.7,4.0,1.63,146.0,510,87,259,16,0.5,1.5,1.5,0.1,4.300000000000001,6.134969325153374
Entire rental unit,Entire home/apt,6,1.0,4.0,4.0,1.0,2.0,43.41688177861717,-2.722357660531997,Euskadi,t,22,52,82,307,61,17,0,4.84,4.87,4.43,4.72,1.12,100.0,345,66,464,29,0.25,1.5,1.0,0.0716612377850162,4.855,54.46428571428571
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,7.0,7.0,37.977325,23.730145,Athens,t,14,44,74,347,81,8,1,4.84,4.94,4.93,4.78,1.17,72.0,267,40,770,41,1.0,3.0,2.0,0.0403458213256484,4.890000000000001,69.23076923076924
Private room in rental unit,Private room,2,1.0,1.0,1.0,1.0,1.0,40.74660568319967,-73.88225566595793,New York City,t,5,9,12,52,62,62,4,4.98,4.97,4.79,4.94,8.61,124.0,516,81,552,33,1.0,2.0,1.0,0.0961538461538461,4.975,7.200929152148665
Entire condo,Entire home/apt,2,1.0,1.0,1.0,1.0,2.0,38.920100067059785,-77.0445665458207,"Washington, D.C",t,24,54,84,263,2,2,0,5.0,5.0,5.0,4.5,0.24,92.0,524,86,775,44,1.0,2.0,1.0,0.091254752851711,5.0,8.333333333333334
Entire rental unit,Entire home/apt,3,1.0,0.0,2.0,1.0,1.0,35.50801,27.21616,South Aegean,t,28,58,88,178,2,0,0,4.0,4.0,4.5,3.5,0.12,100.0,490,85,44,4,1.0,2.0,1.0,0.1573033707865168,4.0,16.666666666666668
Private room in home,Private room,4,1.0,1.0,2.0,2.0,3.0,32.81613,-117.1618,San Diego,t,13,17,17,17,41,41,4,4.98,5.0,4.8,4.93,6.47,77.0,488,84,775,38,1.0,4.0,2.0,0.7647058823529411,4.99,6.3369397217928904
Private room in rental unit,Private room,2,1.0,1.0,2.0,126.0,195.0,1.34458,103.73395,Singapore,t,29,59,89,269,0,0,0,4.86,4.87,4.88,4.77,0.87,80.0,504,76,217,14,1.0,2.0,2.0,0.1078066914498141,4.855,27.85923753665689
Entire loft,Entire home/apt,7,4.0,4.0,4.0,2.0,2.0,48.87997,2.38903,Paris,t,9,10,10,38,42,3,0,4.88,4.64,4.79,4.79,0.5,375.0,479,74,1183,57,1.0,1.75,1.0,0.2368421052631578,4.76,84.0
Entire condo,Entire home/apt,3,1.0,1.0,1.0,1.0,4.0,43.64701,-79.39395,Toronto,t,27,57,87,87,1,0,0,5.0,5.0,4.0,5.0,0.01,160.0,47,10,160,14,1.0,3.0,1.0,0.3103448275862069,5.0,100.0
Private room in bed and breakfast,Private room,2,1.0,1.0,6.0,3.0,3.0,38.1581798,13.175378,Sicily,t,28,58,88,352,3,3,0,5.0,5.0,5.0,5.0,0.35,72.0,361,63,827,38,1.0,2.0,6.0,0.0795454545454545,5.0,8.571428571428571
Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,7.0,7.0,35.51779,24.01553,Crete,t,30,60,90,276,12,12,0,4.67,4.83,5.0,4.83,2.05,85.0,470,87,173,11,1.0,3.0,1.0,0.108695652173913,4.75,5.853658536585367
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,140.0,246.0,45.46085,9.1831,Milan,t,17,39,69,268,3,3,0,5.0,5.0,4.33,5.0,0.73,180.0,141,22,374,26,0.5,3.0,1.5,0.0634328358208955,5.0,4.109589041095891
Entire rental unit,Entire home/apt,8,2.0,2.0,5.0,7.0,7.0,45.479089932351705,9.194913555073024,Milan,t,30,53,83,164,107,48,2,4.9,4.94,4.82,4.76,4.76,325.0,510,81,925,50,1.0,4.0,2.5,0.1829268292682926,4.92,22.478991596638657
Entire home,Entire home/apt,12,3.0,4.0,9.0,3.0,3.0,35.5952937675,-82.6606937534,Asheville,t,25,55,85,257,8,8,0,5.0,5.0,5.0,5.0,0.82,457.0,497,79,1600,70,0.75,3.0,2.25,0.0972762645914396,5.0,9.75609756097561
Entire vacation home,Entire home/apt,2,1.0,1.0,1.0,1.0,1.0,53.219006,-8.693309,Ireland,t,23,53,83,358,90,36,0,4.92,4.98,4.82,4.81,3.0,95.0,490,83,483,28,1.0,2.0,1.0,0.0642458100558659,4.95,30.0
Entire home,Entire home/apt,3,2.0,3.0,2.0,1.0,1.0,37.41189,-122.12206,Santa Clara County,t,0,0,16,105,18,6,0,5.0,5.0,5.0,4.94,0.67,310.0,492,81,1098,59,0.6666666666666666,1.0,0.6666666666666666,0.0,5.0,26.86567164179104
Entire villa,Entire home/apt,12,4.5,5.0,0.0,758.0,962.0,36.439619340978574,28.208990722259703,South Aegean,t,0,0,0,145,0,0,0,4.86,4.87,4.88,4.77,0.87,736.0,330,58,163,12,0.9,2.4,0.0,0.0,4.855,27.85923753665689
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,3.0,3.0,41.008598,17.0036504,Puglia,t,28,58,88,88,1,1,1,5.0,5.0,5.0,5.0,1.0,73.0,491,77,591,29,1.0,3.0,2.0,0.3181818181818182,5.0,1.0
Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,1.0,1.0,45.47928,9.22154,Milan,t,23,53,83,83,0,0,0,4.86,4.87,4.88,4.77,0.87,95.0,417,68,339,21,1.0,4.0,1.0,0.2771084337349397,4.855,27.85923753665689
Entire home,Entire home/apt,8,3.0,3.0,5.0,83.0,242.0,29.96682,-90.08666,New Orleans,t,18,40,66,156,9,9,0,4.56,4.67,4.56,4.56,0.9,169.0,489,72,519,34,1.0,2.6666666666666665,1.6666666666666667,0.1153846153846153,4.615,10.0
