property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_listings_count,host_total_listings_count,latitude,longitude,city,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,description_char_len,description_word_count,amenities_char_len,amenities_item_count,bathrooms_per_bedroom,accommodates_per_bedroom,beds_per_bedroom,availability_30_share,review_scores_avg_quality,reviews_activity_ratio
Entire rental unit,Entire home/apt,1,1.5,0.0,1.0,1.0,1.0,48.8493,2.31046,Paris,t,0,10,10,90,25,3,0,4.72,4.48,4.96,4.32,0.4,33.0,323,51,136,10,1.0,2.0,1.0,0.0,4.6,62.5
Entire home,Entire home/apt,7,1.5,3.0,7.0,4.0,4.0,53.49365,-2.31633,Greater Manchester,t,30,60,90,365,0,0,0,4.86,4.87,4.88,4.77,0.87,173.0,463,76,485,30,0.5,2.3333333333333335,2.3333333333333335,0.0821917808219178,4.855,27.85923753665689
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,19.0,28.0,45.47207,9.16903,Milan,t,14,35,57,137,1,1,0,5.0,5.0,5.0,5.0,0.86,78.0,29,5,55,5,1.0,2.0,1.0,0.1021897810218978,5.0,1.162790697674419
Private room in home,Private room,2,1.0,6.0,1.0,1.0,3.0,51.58941730388668,-0.0836108570860174,London,t,10,35,64,244,1,1,0,5.0,5.0,5.0,5.0,0.19,27.0,198,34,114,7,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.040983606557377,5.0,5.2631578947368425
Entire home,Entire home/apt,3,2.0,2.0,2.0,1.0,2.0,51.06195720869286,3.712009638547897,Ghent,t,0,0,21,21,6,6,2,4.5,4.5,4.17,4.5,2.57,102.0,437,74,113,8,1.0,1.5,1.0,0.0,4.5,2.3346303501945527
Entire condo,Entire home/apt,2,1.0,1.0,1.0,1.0,1.0,19.63083744195209,-155.9884653761963,Hawaii,t,20,46,73,333,48,21,5,4.88,4.85,4.9,4.75,1.5,165.0,404,62,850,46,1.0,2.0,1.0,0.06006006006006,4.865,32.0
Entire rental unit,Entire home/apt,3,1.0,0.0,1.0,2.0,3.0,40.6811,-73.94043,New York City,t,30,60,90,180,44,0,0,4.75,4.82,4.57,4.68,1.38,147.0,269,48,516,27,1.0,2.0,1.0,0.1666666666666666,4.785,31.884057971014496
Entire rental unit,Entire home/apt,2,1.0,0.0,2.0,4.0,4.0,43.61078224833191,-79.54260949773318,Toronto,t,12,42,72,346,2,2,0,5.0,4.5,4.5,4.5,0.35,148.0,493,78,971,57,1.0,2.0,1.0,0.0346820809248554,4.75,5.714285714285714
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,35.0,38.0,51.5248,-0.16174,London,t,7,12,19,292,0,0,0,4.86,4.87,4.88,4.77,0.87,170.0,528,74,377,25,1.0,2.0,1.0,0.023972602739726,4.855,27.85923753665689
Entire guesthouse,Entire home/apt,4,1.0,2.0,1.0,1.0,1.0,45.05869,-92.97831,Twin Cities MSA,t,29,59,89,364,149,12,0,4.99,4.99,4.99,4.95,1.99,150.0,455,81,915,51,0.5,2.0,0.5,0.0796703296703296,4.99,74.87437185929649
Entire home,Entire home/apt,8,2.0,4.0,5.0,1.0,1.0,-33.72108153801154,150.9293562750737,Sydney,t,12,19,46,129,46,31,2,4.74,4.65,4.83,4.67,2.97,210.0,519,83,817,49,0.5,2.0,1.25,0.0930232558139534,4.695,15.488215488215488
Private room in condo,Private room,4,1.0,1.0,2.0,77.0,112.0,51.53938,-0.1875,London,t,12,32,62,62,21,21,3,4.19,4.0,4.33,4.29,5.83,113.0,498,77,656,41,1.0,4.0,2.0,0.1935483870967742,4.095000000000001,3.6020583190394513
Private room in home,Private room,2,1.0,1.0,1.0,3.0,3.0,-28.54874,153.49273,Northern Rivers,t,30,54,81,356,190,21,3,4.74,4.72,4.86,4.76,1.53,73.0,227,41,514,28,1.0,2.0,1.0,0.0842696629213483,4.73,124.18300653594773
Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,1.0,2.0,-22.9810634,-43.2003361,Rio de Janeiro,t,0,0,21,296,3,3,0,5.0,5.0,5.0,5.0,0.33,743.0,500,78,499,31,1.0,2.0,2.0,0.0,5.0,9.09090909090909
Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,7.0,7.0,40.47373,-3.7136,Madrid,t,0,0,2,277,52,13,1,4.98,4.96,4.67,4.88,1.29,70.0,421,71,726,42,0.5,2.0,1.5,0.0,4.970000000000001,40.310077519379846
Entire rental unit,Entire home/apt,4,1.0,0.0,2.0,8.0,8.0,45.52368,-73.59148,Montreal,t,20,44,74,268,283,62,5,4.87,4.88,4.9,4.83,4.3,114.0,477,83,400,25,1.0,2.0,1.0,0.0746268656716417,4.875,65.81395348837209
Private room in home,Private room,2,1.0,1.0,2.0,2.0,2.0,32.914776902580044,-117.15805895626544,San Diego,t,8,35,65,340,83,48,4,4.94,4.99,4.87,4.86,4.38,74.0,551,90,895,42,1.0,2.0,2.0,0.0235294117647058,4.965,18.949771689497716
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,19.0,21.0,42.33879071981539,-71.07193168859966,Boston,t,0,26,56,331,0,0,0,4.86,4.87,4.88,4.77,0.87,164.0,313,46,754,48,1.0,2.0,1.0,0.0,4.855,27.85923753665689
Private room in condo,Private room,2,1.5,1.0,1.0,1.0,1.0,50.84768,4.34736,Brussels,t,4,11,27,274,370,49,4,4.76,4.75,4.94,4.78,3.76,48.0,495,88,812,42,1.5,2.0,1.0,0.0145985401459854,4.755,98.40425531914894
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.0,48.0,51.55707,-0.17035,London,t,30,39,69,234,71,11,0,4.96,4.94,4.94,4.91,0.73,266.0,500,77,702,42,1.0,2.0,1.0,0.1282051282051282,4.95,97.26027397260276
Room in boutique hotel,Private room,2,1.0,1.0,1.0,4.0,6.0,21.28771,-157.83373,Hawaii,t,25,55,85,360,127,29,0,4.77,4.67,4.87,4.8,2.02,115.0,471,88,422,29,1.0,2.0,1.0,0.0694444444444444,4.72,62.87128712871287
Entire condo,Entire home/apt,2,1.0,1.0,1.0,1.0,2.0,52.36385,4.88564,Amsterdam,t,3,4,7,26,631,53,6,4.83,4.93,4.89,4.71,5.86,139.0,127,21,456,27,1.0,2.0,1.0,0.1153846153846153,4.88,107.679180887372
Entire rental unit,Entire home/apt,1,1.0,1.0,1.0,36.0,44.0,48.83494,2.29608,Paris,t,12,12,12,77,2,2,0,5.0,5.0,5.0,5.0,0.5,45.0,137,20,467,29,1.0,1.0,1.0,0.1558441558441558,5.0,4.0
Entire rental unit,Entire home/apt,5,1.0,3.0,5.0,2.0,2.0,42.26464,3.15769,Girona,t,0,3,5,187,177,16,0,4.86,4.92,4.91,4.77,1.42,200.0,284,52,1220,55,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.0,4.890000000000001,124.64788732394366
Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,8.0,8.0,-33.67321,115.03319,Western Australia,t,15,39,58,303,26,4,0,4.62,4.62,4.77,4.31,0.31,553.0,1000,170,473,33,1.0,2.0,1.0,0.0495049504950495,4.62,83.87096774193549
Entire condo,Entire home/apt,6,2.0,3.0,4.0,52.0,60.0,49.28003198003935,-123.10633118099628,Vancouver,t,6,11,28,28,1,1,1,4.0,5.0,5.0,4.0,1.0,148.0,420,67,835,50,0.6666666666666666,2.0,1.3333333333333333,0.2142857142857142,4.5,1.0
Entire rental unit,Entire home/apt,4,2.0,3.0,5.0,5.0,30.0,41.4034,2.17585,Barcelona,t,9,21,34,255,119,37,0,4.9,4.92,4.94,4.82,1.95,220.0,164,28,326,21,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.0352941176470588,4.91,61.02564102564103
Tiny home,Entire home/apt,2,1.0,2.0,2.0,1.0,1.0,-41.521555129223216,147.40342337481178,Tasmania,t,11,36,66,333,16,16,4,5.0,5.0,4.94,4.94,4.62,175.0,490,81,774,41,0.5,1.0,1.0,0.033033033033033,5.0,3.463203463203463
Entire rental unit,Entire home/apt,6,1.0,2.0,4.0,47.0,50.0,51.56523,-0.10792,London,t,9,25,37,304,7,7,1,4.71,4.57,4.86,4.86,2.12,140.0,480,77,799,40,0.5,3.0,2.0,0.0296052631578947,4.640000000000001,3.30188679245283
Entire rental unit,Entire home/apt,6,1.0,2.0,5.0,1.0,1.0,41.6618,2.78187,Girona,t,25,55,85,129,18,3,0,4.89,4.89,4.94,4.72,0.3,90.0,224,41,581,33,0.5,3.0,2.5,0.1937984496124031,4.89,60.0
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,13.0,17.0,42.23860932630704,3.124222715344249,Girona,t,29,58,58,58,3,3,1,4.0,4.67,4.67,3.67,1.36,92.0,114,17,243,16,1.0,4.0,2.0,0.5,4.335,2.205882352941176
Entire townhouse,Entire home/apt,2,1.0,1.0,2.0,5.0,5.0,38.02612,12.52999,Sicily,t,25,55,85,117,12,1,0,4.92,5.0,4.67,4.92,0.13,49.0,446,71,562,31,1.0,2.0,2.0,0.2136752136752136,4.96,92.3076923076923
Entire condo,Entire home/apt,4,1.0,1.0,1.0,1.0,1.0,45.47105,-73.5887,Montreal,t,0,0,20,295,12,4,0,4.67,4.33,4.75,4.5,0.35,62.0,426,73,925,48,1.0,4.0,1.0,0.0,4.5,34.285714285714285
Entire home,Entire home/apt,4,2.0,2.0,3.0,1.0,3.0,-26.47328,153.09851,Sunshine Coast,t,6,15,42,126,57,35,2,4.93,4.82,4.91,4.79,3.21,228.0,452,72,995,48,1.0,2.0,1.5,0.0476190476190476,4.875,17.757009345794394
Private room in home,Private room,1,1.0,1.0,2.0,1.0,1.0,43.70455,-79.26668,Toronto,t,30,60,90,365,0,0,0,4.86,4.87,4.88,4.77,0.87,100.0,49,10,2,1,1.0,1.0,2.0,0.0821917808219178,4.855,27.85923753665689
Entire vacation home,Entire home/apt,4,1.0,1.0,2.0,6.0,6.0,40.84638,14.263,Naples,t,8,21,29,227,1,0,0,5.0,5.0,5.0,5.0,0.03,124.0,336,52,985,53,1.0,4.0,2.0,0.0352422907488986,5.0,33.333333333333336
Casa particular,Entire home/apt,4,1.0,2.0,2.0,5.0,8.0,40.44618,-3.78884,Madrid,t,29,59,89,355,17,5,0,4.65,4.76,4.82,4.35,0.64,215.0,495,88,642,38,0.5,2.0,1.0,0.0816901408450704,4.705,26.5625
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,6.0,6.0,33.82918388974122,-118.2848565168885,Los Angeles,t,16,31,58,330,1,1,1,5.0,5.0,4.0,5.0,1.0,80.0,167,25,396,26,1.0,2.0,1.0,0.0484848484848484,5.0,1.0
Entire condo,Entire home/apt,4,1.5,2.0,2.0,31.0,32.0,52.35640922085154,4.9061577051902505,Amsterdam,t,6,10,24,269,109,65,1,4.92,4.94,4.92,4.7,5.33,309.0,272,40,1216,62,0.75,2.0,1.0,0.0223048327137546,4.93,20.45028142589118
Entire serviced apartment,Entire home/apt,4,1.5,2.0,3.0,36.0,63.0,52.10678,4.28003,The Hague,t,2,29,59,307,15,4,0,4.8,4.87,4.93,4.4,0.46,202.0,358,54,955,49,0.75,2.0,1.5,0.006514657980456,4.835,32.608695652173914
Entire home,Entire home/apt,6,1.0,2.0,3.0,3.0,4.0,44.91512161492355,-93.14961640381745,Twin Cities MSA,t,25,51,73,279,9,9,2,4.89,5.0,4.89,4.78,1.73,101.0,389,60,1088,59,0.5,3.0,1.5,0.089605734767025,4.945,5.202312138728324
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,1.0,40.33549,18.23128,Puglia,t,29,59,89,269,0,0,0,4.86,4.87,4.88,4.77,0.87,86.0,385,59,106,6,1.0,2.0,1.0,0.1078066914498141,4.855,27.85923753665689
Private room in rental unit,Private room,2,1.0,1.0,1.0,2.0,3.0,40.3507,-3.68698,Madrid,t,1,1,1,70,6,1,0,5.0,5.0,4.83,5.0,0.26,15.0,58,11,70,5,1.0,2.0,1.0,0.0142857142857142,5.0,23.076923076923077
Private room in bed and breakfast,Private room,4,1.0,2.0,2.0,1.0,1.0,41.5075534,15.3345501,Puglia,t,0,0,0,275,9,2,0,5.0,5.0,5.0,5.0,0.3,50.0,455,76,689,40,0.5,2.0,1.0,0.0,5.0,30.0
Private room in home,Private room,2,1.0,1.0,1.0,6.0,6.0,-33.7873899,151.1239128,Sydney,t,5,35,65,336,17,5,1,4.82,4.94,4.65,4.88,0.86,108.0,435,74,623,33,1.0,2.0,1.0,0.0148809523809523,4.880000000000001,19.767441860465116
Private room in rental unit,Private room,2,1.0,1.0,1.0,6.0,6.0,43.35948,-2.91531,Euskadi,t,23,46,76,298,0,0,0,4.86,4.87,4.88,4.77,0.87,93.0,0,0,266,17,1.0,2.0,1.0,0.0771812080536912,4.855,27.85923753665689
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,12.0,12.0,19.4235247,-99.1662109,Mexico City,t,5,14,32,101,117,106,12,4.87,4.93,4.91,4.82,7.82,893.0,334,55,662,39,1.0,2.0,1.0,0.0495049504950495,4.9,14.9616368286445
Entire cottage,Entire home/apt,4,1.0,2.0,2.0,2.0,2.0,-29.71441,152.96889,Northern Rivers,t,29,54,80,170,44,5,1,4.98,4.98,4.91,4.95,0.63,164.0,259,45,590,35,0.5,2.0,1.0,0.1705882352941176,4.98,69.84126984126983
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,2.0,48.89289385965925,2.322025136878687,Paris,t,3,3,17,17,8,8,0,5.0,4.88,5.0,4.88,0.81,100.0,507,72,1198,62,1.0,2.0,1.0,0.1764705882352941,4.9399999999999995,9.876543209876544
Entire home,Entire home/apt,4,1.0,2.0,2.0,5.0,6.0,-33.91357,151.25519,Sydney,t,3,13,43,261,328,58,5,4.85,4.68,4.91,4.78,2.9,290.0,534,88,423,31,0.5,2.0,1.0,0.0114942528735632,4.765,113.10344827586208
Entire home,Entire home/apt,4,2.0,2.0,2.0,1.0,1.0,34.12381315859645,-118.34990531476642,Los Angeles,t,26,56,86,300,1,1,1,5.0,5.0,5.0,5.0,1.0,400.0,363,53,840,45,1.0,2.0,1.0,0.0866666666666666,5.0,1.0
Private room in rental unit,Private room,2,1.0,1.0,2.0,22.0,23.0,40.39268,-3.66752,Madrid,t,1,1,1,1,54,2,0,4.69,4.8,4.19,4.44,0.82,91.0,388,67,879,45,1.0,2.0,2.0,1.0,4.745,65.85365853658537
Entire home,Entire home/apt,2,1.0,1.0,1.0,11.0,11.0,38.7205331,-9.133876,Lisbon,t,9,17,30,53,65,38,5,4.92,4.92,4.69,4.8,2.87,152.0,462,76,1125,51,1.0,2.0,1.0,0.1698113207547169,4.92,22.648083623693378
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,66.0,77.0,37.974285,23.716791,Athens,t,14,44,74,349,107,27,0,4.73,4.75,4.82,4.59,2.91,89.0,490,73,1057,50,1.0,2.0,1.0,0.0401146131805157,4.74,36.76975945017182
Entire home,Entire home/apt,1,1.0,1.0,1.0,21.0,139.0,1.3077125575852029,103.90393581440654,Singapore,t,28,58,88,88,0,0,0,4.86,4.87,4.88,4.77,0.87,120.0,496,80,511,32,1.0,1.0,1.0,0.3181818181818182,4.855,27.85923753665689
Entire condo,Entire home/apt,4,1.0,1.0,2.0,13.0,13.0,40.6205714,22.9688558,Thessaloniki,t,14,41,71,346,8,8,3,4.75,4.88,4.88,4.5,5.33,96.0,495,78,590,34,1.0,4.0,2.0,0.0404624277456647,4.8149999999999995,1.50093808630394
Entire rental unit,Entire home/apt,4,1.0,2.0,6.0,1.0,1.0,37.95503,15.3741,Sicily,t,27,57,87,337,0,0,0,4.86,4.87,4.88,4.77,0.87,86.0,248,39,469,27,0.5,2.0,3.0,0.0801186943620178,4.855,27.85923753665689
Private room in home,Private room,8,1.0,1.0,3.0,36.0,42.0,33.97623,-117.8897,Los Angeles,t,17,47,77,348,2,2,1,4.0,4.0,5.0,4.5,1.5,57.0,375,68,187,12,1.0,8.0,3.0,0.0488505747126436,4.0,1.3333333333333333
Entire condo,Entire home/apt,3,1.5,1.0,1.0,3.0,3.0,34.06148,-118.43722,Los Angeles,t,0,7,37,312,22,1,0,4.91,4.59,5.0,4.95,0.31,176.0,498,85,744,42,1.5,3.0,1.0,0.0,4.75,70.96774193548387
Entire condo,Entire home/apt,2,1.0,1.0,1.0,48.0,58.0,-37.8723365,145.0199248,Melbourne,t,0,24,54,329,45,22,0,4.91,4.89,4.96,4.71,1.98,205.0,435,66,982,47,1.0,2.0,1.0,0.0,4.9,22.727272727272727
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,62.0,69.0,36.4316465,28.2172207,South Aegean,t,30,60,90,365,1,1,0,5.0,5.0,5.0,5.0,0.25,55.0,59,9,441,27,1.0,2.0,1.0,0.0821917808219178,5.0,4.0
Private room in rental unit,Private room,3,1.0,1.0,2.0,4.0,10.0,45.75355555179736,4.839952409932253,Lyon,t,10,10,10,10,27,24,1,4.11,4.15,4.44,4.26,2.0,32.0,500,77,307,19,1.0,3.0,2.0,1.0,4.130000000000001,13.5
Private room in home,Private room,2,1.0,1.0,1.0,4.0,11.0,41.83625411987305,-71.42791748046875,Rhode Island,t,10,10,10,10,27,5,1,4.63,4.78,4.48,4.48,0.46,68.0,199,37,1096,54,1.0,2.0,1.0,1.0,4.705,58.69565217391304
Private room in bed and breakfast,Private room,2,1.5,1.0,3.0,4.0,4.0,40.95252,17.30245,Puglia,t,30,60,90,365,0,0,0,4.86,4.87,4.88,4.77,0.87,100.0,439,83,34,3,1.5,2.0,3.0,0.0821917808219178,4.855,27.85923753665689
Entire rental unit,Entire home/apt,2,1.0,2.0,3.0,1.0,1.0,41.373203049496894,2.132436250224837,Barcelona,t,27,57,87,267,0,0,0,4.86,4.87,4.88,4.77,0.87,73.0,505,91,367,24,0.5,1.0,1.5,0.1011235955056179,4.855,27.85923753665689
Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,14.0,18.0,-37.82612,144.95714,Melbourne,t,24,41,64,250,12,12,1,4.75,4.75,4.92,4.75,2.65,351.0,484,74,580,39,0.6666666666666666,2.0,1.3333333333333333,0.096,4.75,4.528301886792453
Entire guest suite,Entire home/apt,2,1.5,1.0,1.0,3.0,3.0,46.94013,6.9979,Vaud,t,29,59,87,332,45,3,0,5.0,4.98,4.44,4.82,0.95,130.0,436,72,803,41,1.5,2.0,1.0,0.0873493975903614,4.99,47.36842105263158
Entire home,Entire home/apt,4,2.0,2.0,2.0,1.0,1.0,43.76736,-79.43544,Toronto,t,28,58,87,87,0,0,0,4.86,4.87,4.88,4.77,0.87,129.0,497,72,114,8,1.0,2.0,1.0,0.3218390804597701,4.855,27.85923753665689
Entire home,Entire home/apt,8,1.0,3.0,5.0,1.0,1.0,-38.17604,144.70548,"Barwon South West, Vic",t,16,46,71,331,31,20,0,4.97,4.9,4.81,4.81,1.48,386.0,501,86,1596,74,0.3333333333333333,2.6666666666666665,1.6666666666666667,0.0483383685800604,4.9350000000000005,20.945945945945947
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,2.0,2.0,40.76142,-74.18895,Newark,t,27,57,87,362,16,16,3,4.69,4.88,3.56,4.56,3.27,109.0,324,59,174,10,0.5,2.0,1.0,0.074585635359116,4.785,4.892966360856269
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,36.0,38.0,20.94290421572324,-156.68974835192208,Hawaii,t,11,38,68,342,1,1,0,4.0,4.0,5.0,4.0,0.58,213.0,392,61,644,39,1.0,4.0,2.0,0.0321637426900584,4.0,1.7241379310344829
Private room in rental unit,Private room,2,1.0,1.0,3.0,1.0,2.0,44.49909,11.3517,Bologna,t,20,50,77,352,19,7,0,4.58,4.68,4.89,4.42,0.87,96.0,348,55,41,3,1.0,2.0,3.0,0.0568181818181818,4.63,21.839080459770116
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,8.0,8.0,36.08902,28.08491,South Aegean,t,0,0,0,211,10,3,0,4.6,5.0,4.8,4.4,0.33,91.0,343,57,892,46,1.0,3.0,2.0,0.0,4.8,30.3030303030303
Entire home,Entire home/apt,6,2.0,3.0,3.0,1.0,2.0,-37.74411,144.95348,Melbourne,t,10,26,56,226,11,7,0,5.0,4.91,4.91,4.91,0.41,220.0,509,91,850,46,0.6666666666666666,2.0,1.0,0.0442477876106194,4.955,26.82926829268293
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,841.0,853.0,40.43443347583604,-3.712990229070576,Madrid,t,0,0,3,243,1,1,0,5.0,5.0,5.0,5.0,0.15,97.0,294,51,432,30,1.0,3.0,2.0,0.0,5.0,6.666666666666667
Room in boutique hotel,Private room,2,1.0,1.0,1.0,1.0,2.0,48.84938,2.38091,Paris,t,30,60,90,365,158,75,13,3.96,4.08,4.38,3.71,2.73,126.0,219,38,530,31,1.0,2.0,1.0,0.0821917808219178,4.02,57.87545787545787
Entire home,Entire home/apt,6,1.0,3.0,4.0,1.0,1.0,41.39043468282314,-71.60827718675137,Rhode Island,t,30,60,90,352,12,9,1,4.92,5.0,4.92,5.0,0.71,210.0,380,61,789,42,0.3333333333333333,2.0,1.3333333333333333,0.0852272727272727,4.96,16.901408450704228
Entire rental unit,Entire home/apt,5,1.0,1.0,3.0,6.0,6.0,25.98805,-80.1187,Broward County,t,0,0,0,258,0,0,0,4.86,4.87,4.88,4.77,0.87,180.0,441,71,263,15,1.0,5.0,3.0,0.0,4.855,27.85923753665689
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,1.0,1.0,21.28035,-157.82514,Hawaii,t,7,13,30,210,4,0,0,5.0,4.5,5.0,5.0,0.21,125.0,338,53,790,46,1.0,2.0,1.0,0.0333333333333333,4.75,19.047619047619047
Entire place,Entire home/apt,4,1.0,2.0,2.0,1.0,1.0,-26.66257,152.99308,Sunshine Coast,t,15,26,46,198,57,20,4,4.86,4.98,4.74,4.88,1.53,153.0,499,83,1474,67,0.5,2.0,1.0,0.0757575757575757,4.92,37.25490196078432
Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,1.0,1.0,-31.18699,152.97099,Mid North Coast,t,27,57,87,267,5,2,0,5.0,5.0,5.0,5.0,0.22,571.0,494,77,857,47,0.75,2.0,1.0,0.1011235955056179,5.0,22.727272727272727
Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,18.0,18.0,35.51284,24.01224,Crete,t,30,60,90,365,88,13,0,4.9,4.86,4.89,4.81,1.1,69.0,539,81,828,44,1.0,3.0,1.0,0.0821917808219178,4.880000000000001,80.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,2.0,2.0,39.87924,4.28899,Menorca,t,29,59,89,269,8,8,0,4.88,4.75,5.0,4.88,1.32,95.0,131,21,183,15,1.0,2.0,1.0,0.1078066914498141,4.8149999999999995,6.0606060606060606
Entire rental unit,Entire home/apt,6,2.0,2.0,2.0,196.0,219.0,48.88308,2.38479,Paris,t,18,36,56,331,3,3,0,5.0,4.67,5.0,5.0,1.64,142.0,426,68,501,33,1.0,3.0,1.0,0.0543806646525679,4.835,1.829268292682927
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,44.0,46.0,29.95685,-90.07337,New Orleans,t,24,51,81,171,12,12,1,4.67,4.92,4.75,4.5,2.5,194.0,456,79,745,42,1.0,4.0,2.0,0.1403508771929824,4.795,4.8
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,2.0,2.0,51.47084,-0.20785,London,t,5,5,5,119,93,12,0,4.88,4.75,4.92,4.75,0.79,190.0,464,75,912,50,0.5,2.0,1.0,0.042016806722689,4.8149999999999995,117.72151898734175
Entire home,Entire home/apt,4,2.0,2.0,2.0,11.0,12.0,-38.77873,143.66463,"Barwon South West, Vic",t,14,39,69,179,72,17,2,4.96,4.93,4.97,4.68,1.8,471.0,493,75,1271,63,1.0,2.0,1.0,0.0782122905027933,4.945,40.0
Entire home,Entire home/apt,5,3.0,2.0,3.0,5.0,5.0,30.31567,-97.71804,Austin,t,20,46,74,349,0,0,0,4.86,4.87,4.88,4.77,0.87,201.0,430,76,1019,50,1.5,2.5,1.5,0.0573065902578796,4.855,27.85923753665689
Entire home,Entire home/apt,3,1.0,1.0,1.0,906.0,922.0,35.41368,25.00096,Crete,t,0,0,0,188,0,0,0,4.86,4.87,4.88,4.77,0.87,300.0,293,46,602,34,1.0,3.0,1.0,0.0,4.855,27.85923753665689
Entire home,Entire home/apt,10,3.0,4.0,5.0,5.0,8.0,36.1152,-115.20776,"Clark County, NV",t,9,9,9,257,56,9,1,4.71,4.79,4.91,4.75,1.32,299.0,318,53,763,44,0.75,2.5,1.25,0.0350194552529182,4.75,42.42424242424242
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,1.0,49.27977,-123.12356,Vancouver,t,18,26,26,26,0,0,0,4.86,4.87,4.88,4.77,0.87,94.0,474,73,113,8,1.0,2.0,1.0,0.6923076923076923,4.855,27.85923753665689
Private room in home,Private room,2,0.5,1.0,0.0,2.0,2.0,-27.48964,153.0734,Brisbane,t,29,59,89,269,29,29,1,4.93,4.93,4.83,4.83,2.84,85.0,497,87,700,41,0.5,2.0,0.0,0.1078066914498141,4.93,10.211267605633804
Entire guesthouse,Entire home/apt,2,1.0,1.0,1.0,2.0,2.0,-33.82875,18.49676,Cape Town,t,6,21,43,279,17,17,3,4.94,4.88,4.65,5.0,3.04,564.0,188,29,253,14,1.0,2.0,1.0,0.021505376344086,4.91,5.592105263157895
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,27.0,30.0,-31.89715,115.75782,Western Australia,t,7,37,67,254,80,1,0,4.73,4.7,4.95,4.71,1.06,393.0,502,72,1322,63,1.0,2.0,1.0,0.0275590551181102,4.715,75.47169811320754
Private room in home,Private room,2,2.5,1.0,1.0,19.0,22.0,51.51934457791036,-0.0559968128800392,London,t,10,38,63,325,3,3,3,5.0,4.67,4.67,5.0,3.0,70.0,67,12,260,14,2.5,2.0,1.0,0.0307692307692307,4.835,1.0
Entire condo,Entire home/apt,6,2.5,2.0,2.0,14.0,14.0,41.14226,-8.60459,Porto,t,2,5,10,55,225,101,7,4.88,4.86,4.79,4.82,7.04,98.0,528,88,596,38,1.25,3.0,1.0,0.0363636363636363,4.87,31.960227272727273
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,2.0,2.0,48.87933,2.35532,Paris,t,0,0,0,139,4,4,0,5.0,4.75,5.0,5.0,0.77,160.0,435,77,593,36,1.0,4.0,2.0,0.0,4.875,5.194805194805195
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,3.0,38.01479,12.51251,Sicily,t,29,59,89,89,29,2,0,4.34,4.24,4.86,4.59,1.38,55.0,77,14,682,37,1.0,2.0,1.0,0.3258426966292135,4.29,21.01449275362319
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,523.0,694.0,51.51679,-0.07616,London,t,24,48,78,98,6,2,2,4.5,4.33,4.83,4.5,0.32,158.0,518,76,408,26,1.0,2.0,1.0,0.2448979591836734,4.415,18.75
Entire chalet,Entire home/apt,2,1.0,1.0,1.0,3.0,3.0,53.2546378,-9.2094309,Ireland,t,22,52,82,357,6,6,0,4.83,4.67,5.0,4.67,1.61,120.0,441,76,78,6,1.0,2.0,1.0,0.0616246498599439,4.75,3.7267080745341614
Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,39.0,48.0,40.4279132,-3.6864337,Madrid,t,12,18,25,32,4,0,0,5.0,4.75,5.0,4.75,0.22,367.0,219,32,771,40,1.0,2.0,1.5,0.375,4.875,18.181818181818183
