property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,total_capacity,bedrooms_per_accommodates,bathrooms_per_accommodates,review_activity_ratio,host_experience_days,days_since_last_review,review_scores_consistency,booking_pressure,description_length,amenities_count
Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,within an hour,100%,t,13.0,15.0,38.71129,-9.14073,t,11,20,37,166,196,33,3,4.97,4.99,4.99,4.89,1.92,325.0,8.0,0.4,0.4,0.0096,3193.0,-427.0,0.0476095228569525,199,500,43
Entire rental unit,Entire home/apt,4,2.0,3.0,3.0,,,f,1.0,1.0,48.87246,2.34459,t,27,57,87,362,0,0,0,,,,,,750.0,12.0,0.6,0.4,,1800.0,,,3,505,47
Entire condo,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,f,280.0,284.0,21.27586,-157.82375,t,4,9,21,96,52,22,2,4.65,4.79,4.79,4.58,1.6,137.0,6.0,0.25,0.25,0.0059259259259259,3036.0,-423.0,0.1049999999999999,269,447,47
Entire villa,Entire home/apt,12,4.0,6.0,10.0,a few days or more,33%,f,173.0,484.0,41.71341,2.85006,t,0,0,0,167,2,0,0,4.5,4.5,4.5,4.5,0.05,1000.0,120.0,0.4615384615384615,0.3076923076923077,0.000251256281407,2330.0,851.0,0.0,198,119,13
Entire condo,Entire home/apt,5,1.5,2.0,3.0,within a few hours,90%,f,26.0,91.0,45.43569,12.34758,t,30,60,90,90,2,1,0,5.0,5.0,5.0,5.0,0.08,343.0,15.0,0.3333333333333333,0.25,0.0002898550724637,2049.0,-283.0,0.0,275,66,3
Private room in rental unit,Private room,2,1.0,1.0,1.0,a few days or more,9%,f,4.0,4.0,37.50253010952781,15.085385612828052,t,29,59,89,364,1,1,0,5.0,5.0,5.0,5.0,0.14,65.0,2.0,0.3333333333333333,0.3333333333333333,0.07,1281.0,-159.0,0.0,1,189,6
Entire condo,Entire home/apt,12,3.0,4.0,5.0,within an hour,100%,t,1.0,1.0,41.91143,-87.65017,t,20,44,62,282,95,38,1,4.97,4.99,4.84,4.75,2.78,756.0,60.0,0.3076923076923077,0.2307692307692307,0.033095238095238,3089.0,-420.0,0.1132475165290612,83,516,62
Entire condo,Entire home/apt,2,1.0,1.0,2.0,within an hour,100%,t,2.0,2.0,45.47568,9.18942,t,14,23,28,28,119,38,0,4.85,4.92,4.93,4.73,3.9,109.0,4.0,0.3333333333333333,0.3333333333333333,0.0115384615384615,3207.0,-406.0,0.0921502396451936,337,418,53
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,94%,f,74.0,92.0,40.40762435472455,-3.698583709449624,t,14,36,60,90,12,12,0,4.92,4.83,4.5,4.75,1.63,138.0,8.0,0.2,0.2,0.0059057971014492,2537.0,-391.0,0.1805547008526778,275,465,27
Room in hotel,Private room,1,1.0,1.0,1.0,within a few hours,100%,f,6.0,6.0,51.48952447391645,-0.1450621519393416,t,27,57,87,318,0,0,0,,,,,,89.0,1.0,0.5,0.5,,-81.0,,,47,293,4
Entire home,Entire home/apt,12,3.5,5.0,6.0,within an hour,100%,t,1.0,1.0,37.21531,-122.4077,t,17,40,70,223,162,21,1,4.91,4.75,4.98,4.85,1.28,736.0,72.0,0.3846153846153846,0.2692307692307692,0.0089510489510489,3884.0,-335.0,0.09742518497117,142,247,54
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,,,f,2.0,2.0,35.33338,25.13882,t,0,0,0,18,92,0,0,4.92,4.95,4.83,4.94,0.98,45.0,2.0,0.3333333333333333,0.3333333333333333,0.0028160919540229,2494.0,1552.0,0.0547722557505166,347,403,37
Entire rental unit,Entire home/apt,4,1.0,0.0,1.0,within an hour,100%,f,1.0,1.0,-22.96494,-43.18145,t,20,50,68,72,72,7,0,4.75,4.71,4.99,4.67,1.0,686.0,4.0,0.0,0.2,0.0034013605442176,1819.0,-268.0,0.1437590576856523,293,481,42
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a few hours,80%,f,6.0,6.0,-33.82515,18.49824,t,0,0,0,241,0,0,0,,,,,,690.0,2.0,0.3333333333333333,0.3333333333333333,,1365.0,,,124,0,46
Room in bed and breakfast,Hotel room,2,2.0,1.0,1.0,within an hour,100%,t,10.0,10.0,41.90569,-87.67339,t,19,41,55,163,27,1,0,4.96,4.96,4.93,4.78,0.35,185.0,2.0,0.3333333333333333,0.6666666666666666,0.0017241379310344,5067.0,-195.0,0.0861684396980702,202,175,50
Private room in rental unit,Private room,1,1.0,1.0,1.0,within an hour,100%,f,9.0,10.0,22.29585094409799,114.17307616514998,t,13,43,73,348,1,1,1,5.0,5.0,5.0,5.0,1.0,257.0,1.0,0.5,0.5,0.0555555555555555,1450.0,-425.0,0.0,17,85,20
Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,within an hour,100%,f,1.0,1.0,48.8714,2.31008,t,11,41,71,278,52,25,2,4.38,4.4,4.9,4.35,2.68,173.0,18.0,0.2857142857142857,0.2857142857142857,0.0304545454545454,273.0,-329.0,0.2624722207523432,87,376,37
Private room in home,Private room,1,1.0,1.0,1.0,,,f,2.0,2.0,35.90157,14.47166,t,17,47,77,257,3,3,0,5.0,5.0,4.67,4.67,0.52,25.0,1.0,0.5,0.5,0.0047706422018348,1532.0,-292.0,0.1905255888325765,108,479,20
Entire condo,Entire home/apt,6,1.0,2.0,3.0,within a few hours,100%,t,31.0,48.0,37.98157389526331,13.841954809045417,t,30,60,90,365,0,0,0,,,,,,60.0,18.0,0.2857142857142857,0.1428571428571428,,2246.0,,,0,419,43
Entire home,Entire home/apt,1,2.0,1.0,1.0,within a day,90%,f,6.0,6.0,45.45614,-73.57707,t,0,0,9,284,6,1,0,5.0,5.0,5.0,4.83,0.06,30.0,1.0,0.5,1.0,0.0007317073170731,2767.0,-307.0,0.0849999999999999,81,496,15
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a few hours,100%,f,1.0,3.0,51.5537,-0.17337,t,0,0,0,132,84,6,0,4.88,4.94,4.99,4.89,0.93,110.0,2.0,0.3333333333333333,0.3333333333333333,0.0039743589743589,2584.0,-180.0,0.0506622805119024,233,347,25
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,f,73.0,104.0,48.1626903,16.3826926,t,24,49,79,354,2,0,0,5.0,5.0,5.0,5.0,0.13,106.0,2.0,0.3333333333333333,0.3333333333333333,0.0108333333333333,4044.0,22.0,0.0,11,407,41
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,t,4.0,4.0,41.87731,-71.4189,t,28,58,88,180,15,9,0,4.93,4.93,4.67,4.8,0.46,98.0,8.0,0.4,0.2,0.0024731182795698,2941.0,-318.0,0.1244655240083238,185,367,55
Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,within a few hours,100%,f,2.0,7.0,-22.9669282,-43.187908,t,30,60,90,365,0,0,0,,,,,,675.0,4.0,0.3333333333333333,0.3333333333333333,,632.0,,,0,535,7
Entire rental unit,Entire home/apt,8,3.0,4.0,4.0,within an hour,100%,t,72.0,101.0,-33.8440807,151.1453517,t,30,55,84,265,9,9,0,5.0,5.0,5.0,4.89,1.53,834.0,32.0,0.4444444444444444,0.3333333333333333,0.0151485148514851,3679.0,-377.0,0.0550000000000001,100,479,50
Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,within an hour,100%,,6.0,8.0,19.35623633561663,-99.28740184754132,t,0,0,0,117,26,10,0,5.0,4.81,4.88,4.88,1.24,900.0,8.0,0.4,0.4,0.0049799196787148,3174.0,-313.0,0.0788986691902976,248,473,33
Room in hotel,Private room,2,1.0,0.0,2.0,,,f,14.0,14.0,37.42511,25.33267,t,0,0,0,109,7,0,0,4.86,5.0,4.71,4.86,0.13,800.0,4.0,0.0,0.3333333333333333,0.0005058365758754,1662.0,501.0,0.1184271928232701,256,424,25
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,t,6.0,6.0,35.516994,24.015373,t,29,59,89,338,68,28,0,4.99,4.97,4.99,4.91,2.13,113.0,6.0,0.25,0.25,0.0760714285714285,3026.0,-287.0,0.0378593889720018,27,493,59
Entire home,Entire home/apt,4,2.0,2.0,2.0,,,f,1.0,5.0,36.20479,-115.26534,t,30,60,90,365,0,0,0,,,,,,168.0,8.0,0.4,0.4,,1654.0,,,0,258,28
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a day,92%,f,467.0,552.0,40.42129,-3.67554,t,0,0,0,254,0,0,0,,,,,,108.0,2.0,0.3333333333333333,0.3333333333333333,,732.0,,,111,263,15
Entire home,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,t,1.0,1.0,-37.82679,144.99589,t,13,28,48,221,145,66,4,4.99,4.96,4.96,4.92,4.88,191.0,8.0,0.4,0.2,0.0336551724137931,3740.0,-417.0,0.0287228132326902,144,463,52
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,95%,f,162.0,171.0,-26.798132591650564,153.1410492393169,t,3,24,50,306,0,0,0,,,,,,128.0,8.0,0.4,0.2,,-294.0,,,59,89,12
Room in boutique hotel,Private room,2,1.0,1.0,1.0,within an hour,100%,t,4.0,13.0,39.771,2.90185,t,19,38,61,229,66,24,0,4.92,4.95,4.73,4.88,1.2,104.0,2.0,0.3333333333333333,0.3333333333333333,0.0087591240875912,1407.0,-390.0,0.0976387901058452,136,69,28
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a day,100%,t,2.0,3.0,52.50158,13.55791,t,20,20,33,308,9,2,0,5.0,5.0,5.0,4.89,0.11,51.0,2.0,0.3333333333333333,0.3333333333333333,0.0018965517241379,4468.0,-288.0,0.0550000000000001,57,411,53
Entire rental unit,Entire home/apt,5,1.0,2.0,4.0,within an hour,100%,f,340.0,389.0,38.69913545520735,-9.418901428037282,t,9,19,32,178,23,23,0,4.61,4.65,4.91,4.52,2.4,79.0,20.0,0.3333333333333333,0.1666666666666666,0.0127659574468085,2765.0,-350.0,0.1674066904278322,187,463,41
Entire home,Entire home/apt,7,2.0,3.0,4.0,within an hour,100%,f,105.0,116.0,-38.26809,144.65247,t,0,22,52,142,3,0,0,5.0,5.0,5.0,4.67,0.07,482.0,28.0,0.375,0.25,0.0003125,2644.0,400.0,0.165,223,180,19
Private room in rental unit,Private room,1,1.0,1.0,1.0,within an hour,100%,f,18.0,19.0,1.31244,103.79747,t,30,60,90,365,0,0,0,,,,,,80.0,1.0,0.5,0.5,,3294.0,,,0,351,14
Private room in condo,Private room,2,1.0,1.0,1.0,within a few hours,89%,f,3.0,5.0,22.32501,114.25831,t,21,51,81,356,73,4,0,4.77,4.77,4.81,4.69,0.71,478.0,2.0,0.3333333333333333,0.3333333333333333,0.071,4046.0,-355.0,0.0503322295684713,9,551,41
Entire home,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,f,7.0,8.0,40.85095,14.24755,t,9,29,32,204,27,26,0,4.89,4.89,4.81,4.85,1.58,58.0,12.0,0.2,0.2,0.009753086419753,2423.0,-406.0,0.0382970843102535,161,251,13
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,t,11.0,48.0,41.89329909889363,-87.6179153255746,t,30,60,90,301,4,1,0,5.0,5.0,5.0,4.75,0.19,250.0,8.0,0.2,0.2,0.0029230769230769,3317.0,-193.0,0.125,64,510,78
Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,,,f,1.0,1.0,38.124203,13.358491,t,26,56,83,84,4,2,0,5.0,5.0,5.0,5.0,0.12,82.0,12.0,0.4,0.2,0.0004255319148936,685.0,-231.0,0.0,281,344,40
Entire home,Entire home/apt,8,2.5,5.0,6.0,a few days or more,0%,f,1.0,1.0,-37.98326,145.05526,t,29,59,89,350,0,0,0,,,,,,820.0,48.0,0.5555555555555556,0.2777777777777778,,2892.0,,,15,478,18
Entire home,Entire home/apt,10,3.0,5.0,6.0,within an hour,100%,f,745.0,1256.0,40.0061916,18.4292757,t,29,59,89,364,0,0,0,,,,,,120.0,60.0,0.4545454545454545,0.2727272727272727,,-9.0,,,1,500,17
Entire villa,Entire home/apt,8,3.5,4.0,0.0,within a day,97%,f,670.0,788.0,37.01848557437159,15.321500496053464,t,0,0,0,215,0,0,0,,,,,,712.0,0.0,0.4444444444444444,0.3888888888888889,,700.0,,,150,390,13
Entire condo,Entire home/apt,4,1.0,1.0,2.0,within a day,100%,f,7.0,7.0,43.78194317135473,11.254970416861177,t,17,31,56,311,0,0,0,,,,,,185.0,8.0,0.2,0.2,,333.0,,,54,283,48
Entire bungalow,Entire home/apt,6,2.0,3.0,3.0,within an hour,100%,t,1.0,1.0,43.74694,-79.38863,t,30,60,86,251,83,6,0,4.94,5.0,4.9,4.94,1.71,350.0,18.0,0.4285714285714285,0.2857142857142857,0.0148695652173913,1196.0,-360.0,0.0412310562561764,114,497,60
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,f,1.0,1.0,56.96315209999999,24.119932,t,27,37,67,260,0,0,0,,,,,,68.0,8.0,0.2,0.2,,-328.0,,,105,390,29
Entire guesthouse,Entire home/apt,2,1.0,2.0,1.0,within an hour,86%,t,1.0,2.0,30.26629,-97.7312,t,15,32,32,32,220,11,1,5.0,4.99,4.98,4.93,2.25,359.0,2.0,0.6666666666666666,0.3333333333333333,0.0067365269461077,3282.0,-434.0,0.0310912635102962,333,457,35
Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,within a day,90%,f,850.0,891.0,48.851245,2.3115497,t,0,0,11,286,0,0,0,,,,,,185.0,8.0,0.4,0.4,,1487.0,,,79,264,25
Entire condo,Entire home/apt,6,1.5,2.0,3.0,within a day,100%,f,1.0,1.0,40.95668,17.29521,t,26,56,86,252,17,6,0,4.65,4.76,4.88,4.65,0.26,106.0,18.0,0.2857142857142857,0.2142857142857142,0.0022807017543859,1623.0,-271.0,0.1096965511460286,113,497,47
Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,within an hour,100%,f,50.0,80.0,48.883517085491896,2.3152735956721155,t,23,23,23,23,19,19,1,4.58,4.79,4.79,4.63,4.29,74.0,4.0,0.2,0.2,0.0125072886297376,189.0,-314.0,0.1087428158546577,342,440,29
Entire rental unit,Entire home/apt,2,1.0,0.0,4.0,within an hour,100%,t,3.0,3.0,45.756462,4.841648,t,0,0,9,284,30,6,0,4.67,4.73,4.57,4.67,0.66,54.0,8.0,0.0,0.3333333333333333,0.0080487804878048,2177.0,-392.0,0.066332495807108,81,487,47
Private room in home,Private room,2,1.0,1.0,1.0,,,f,4.0,4.0,41.75368,-87.65483,t,29,59,89,89,2,0,0,5.0,5.0,4.5,5.0,0.03,71.0,2.0,0.3333333333333333,0.3333333333333333,0.0001083032490974,3471.0,1539.0,0.25,276,500,33
Entire home,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,t,10.0,11.0,41.14852337864808,-8.630738072097301,t,25,44,58,175,39,39,0,4.67,4.69,4.67,4.69,3.34,55.0,12.0,0.2,0.2,0.0174869109947643,2691.0,-365.0,0.0115470053837927,190,356,31
Private room in bed and breakfast,Private room,3,5.0,5.0,7.0,within an hour,100%,f,5.0,5.0,40.85015,14.24588,t,29,59,89,364,1,1,0,5.0,5.0,4.0,3.0,0.21,150.0,21.0,1.25,1.25,0.105,915.0,-296.0,0.957427107756338,1,273,34
Private room in home,Private room,5,2.0,1.0,2.0,within an hour,100%,t,3.0,8.0,53.4874,-2.20894,t,23,50,77,175,394,42,4,4.76,4.65,4.49,4.74,3.78,31.0,10.0,0.1666666666666666,0.3333333333333333,0.0197905759162303,3129.0,-350.0,0.1230176139149727,190,379,34
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,100%,t,19.0,26.0,45.46241,-73.59545,t,30,60,90,365,20,3,0,4.9,4.9,4.65,4.8,0.5,30.0,2.0,0.3333333333333333,0.3333333333333333,0.5,3800.0,-378.0,0.1181453906563152,0,530,37
Private room in home,Private room,2,0.0,1.0,1.0,,,f,1.0,1.0,51.41411969272676,-0.0813204603723529,t,0,20,50,136,43,12,0,4.93,4.98,4.91,4.88,1.83,75.0,2.0,0.3333333333333333,0.0,0.0079565217391304,2860.0,-189.0,0.0420317340430618,229,514,28
Entire home,Entire home/apt,2,1.0,1.0,1.0,within a few hours,100%,f,1.0,1.0,43.65058,-79.4258,t,13,14,14,14,42,6,1,4.88,4.86,4.85,4.8,0.41,195.0,2.0,0.3333333333333333,0.3333333333333333,0.0011647727272727,2680.0,-400.0,0.0340342964277703,351,505,53
Private room in home,Private room,2,1.0,2.0,2.0,within an hour,100%,t,1.0,2.0,36.12784385486166,-115.25062214223,t,30,60,90,364,0,0,0,,,,,,81.0,4.0,0.6666666666666666,0.3333333333333333,,2853.0,,,1,484,14
Private room in rental unit,Private room,2,1.5,1.0,1.0,within a few hours,100%,t,2.0,16.0,40.67652613922367,-73.95497027444726,t,30,60,90,364,31,31,0,4.9,4.87,4.77,4.74,3.47,153.0,2.0,0.3333333333333333,0.5,1.735,2851.0,-391.0,0.0770281333886091,1,356,74
Entire home,Entire home/apt,6,2.0,3.0,5.0,,,f,2.0,4.0,36.9680264936266,15.2208342502391,t,0,0,0,83,15,3,0,4.87,4.53,4.47,4.8,0.13,120.0,30.0,0.4285714285714285,0.2857142857142857,0.0004593639575971,4281.0,-245.0,0.1970406049523803,282,497,43
Private room in home,Private room,2,2.0,1.0,1.0,within an hour,100%,t,4.0,4.0,51.47678,-0.34498,t,3,23,53,143,3,0,0,4.0,4.0,4.67,4.0,0.09,50.0,2.0,0.3333333333333333,0.6666666666666666,0.0004035874439461,3591.0,466.0,0.3349999999999999,222,452,31
Private room in rental unit,Private room,2,4.0,1.0,1.0,within an hour,99%,f,21.0,22.0,51.5295533784778,-0.0270544365048408,t,6,17,44,215,1,1,0,5.0,5.0,4.0,4.0,0.1,54.0,2.0,0.3333333333333333,1.3333333333333333,0.0006622516556291,24.0,-46.0,0.5773502691896257,150,447,28
Private room in home,Private room,2,1.5,1.0,1.0,,,f,5.0,8.0,-37.9122781,144.7596668,t,0,13,43,43,10,0,0,4.9,4.6,4.9,4.8,0.37,63.0,2.0,0.3333333333333333,0.5,0.0011455108359133,395.0,-58.0,0.1414213562373098,322,162,57
Private room in townhouse,Private room,2,1.0,1.0,1.0,within a few hours,100%,f,256.0,283.0,40.72408,-73.85811,t,19,48,48,48,4,0,0,5.0,4.75,4.75,4.5,0.12,43.0,2.0,0.3333333333333333,0.3333333333333333,0.000377358490566,1987.0,245.0,0.2041241452319315,317,370,5
Private room in rental unit,Private room,2,1.0,2.0,2.0,a few days or more,20%,f,1.0,1.0,40.63507,22.95116,t,0,15,40,40,12,0,0,4.58,4.42,4.83,4.75,0.13,16.0,4.0,0.6666666666666666,0.3333333333333333,0.0003987730061349,2876.0,2247.0,0.1826654501176034,325,468,15
Entire condo,Entire home/apt,4,1.0,1.0,1.0,within an hour,100%,t,6.0,6.0,30.2542,-97.73924,t,0,0,0,0,51,51,6,4.92,4.96,4.88,4.82,5.8,262.0,4.0,0.2,0.2,0.0158469945355191,217.0,-434.0,0.0597215762238962,365,500,61
Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,within an hour,100%,f,8.0,9.0,50.8327518,4.3635972,t,4,4,4,4,5,5,0,5.0,5.0,5.0,4.8,0.61,104.0,2.0,0.3333333333333333,0.3333333333333333,0.0016850828729281,-113.0,-327.0,0.1,361,359,47
Entire home,Entire home/apt,5,1.0,3.0,3.0,within an hour,100%,f,1.0,1.0,49.91350388806469,-97.09980191468048,t,16,35,62,62,3,3,3,4.67,5.0,4.67,5.0,3.0,96.0,15.0,0.5,0.1666666666666666,0.0098684210526315,2842.0,-420.0,0.1905255888325765,303,499,28
Entire condo,Entire home/apt,5,2.0,2.0,3.0,within an hour,100%,t,12.0,30.0,32.84796,-117.27455,t,0,20,50,280,89,4,1,4.82,4.83,4.98,4.63,0.98,242.0,15.0,0.3333333333333333,0.3333333333333333,0.0113953488372093,3267.0,-339.0,0.1434108317619932,85,497,61
Private room in home,Private room,2,1.5,1.0,1.0,within an hour,100%,f,5.0,5.0,39.94681167602539,-82.97806549072266,t,30,60,90,365,4,0,0,5.0,5.0,5.0,5.0,0.13,110.0,2.0,0.3333333333333333,0.5,0.13,634.0,218.0,0.0,0,345,57
Entire rental unit,Entire home/apt,5,1.0,1.0,5.0,within an hour,100%,t,1.0,1.0,49.27872,-123.12427,t,0,0,0,0,31,21,6,4.71,4.58,4.84,4.77,2.05,168.0,25.0,0.1666666666666666,0.1666666666666666,0.0056010928961748,37.0,-426.0,0.1103026140518285,365,316,37
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,,,f,1.0,1.0,48.87789979999999,2.3445087,t,27,57,87,267,2,2,0,5.0,5.0,5.0,5.0,0.21,199.0,2.0,0.3333333333333333,0.3333333333333333,0.0021212121212121,41.0,-105.0,0.0,98,329,27
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a few hours,100%,f,1.0,1.0,43.63828,-79.42584,t,0,0,0,60,1,1,0,5.0,5.0,5.0,3.0,0.38,190.0,2.0,0.3333333333333333,0.3333333333333333,0.0012418300653594,3588.0,-349.0,1.0,305,210,32
Private room in rental unit,Private room,2,0.5,1.0,1.0,within an hour,100%,f,4.0,6.0,51.43593659612993,-0.0109719955742199,t,30,60,90,365,0,0,0,,,,,,120.0,2.0,0.3333333333333333,0.1666666666666666,,-315.0,,,0,67,9
Private room in condo,Private room,2,1.0,1.0,1.0,within a few hours,100%,t,1.0,2.0,37.9737,23.74782,t,27,57,87,161,79,8,0,4.62,4.37,4.86,4.72,0.73,27.0,2.0,0.3333333333333333,0.3333333333333333,0.003560975609756,2905.0,-300.0,0.2066196183005541,204,498,42
Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,,,f,8.0,8.0,36.374555529538206,25.484345533729552,t,0,0,0,153,0,0,0,,,,,,195.0,12.0,0.2,0.2,,-122.0,,,212,541,14
Room in aparthotel,Entire home/apt,2,1.0,0.0,1.0,within a day,79%,f,48.0,71.0,40.71826,-73.99416,t,15,45,75,75,27,12,0,4.37,4.33,4.63,4.48,0.51,115.0,2.0,0.0,0.3333333333333333,0.0017525773195876,2938.0,-369.0,0.1342572158209754,290,369,28
Private room in resort,Private room,6,1.0,2.0,5.0,within an hour,100%,f,12.0,26.0,32.7288012,-117.1672652,t,0,2,3,160,0,0,0,,,,,,335.0,30.0,0.2857142857142857,0.1428571428571428,,501.0,,,205,219,32
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,t,1.0,1.0,54.004713,-6.4025522,t,28,58,81,356,17,12,1,4.94,5.0,5.0,4.94,0.93,153.0,2.0,0.3333333333333333,0.3333333333333333,0.093,327.0,-319.0,0.0346410161513773,9,206,27
Entire home,Entire home/apt,8,2.0,3.0,4.0,within an hour,100%,f,780.0,2150.0,33.33905,-118.32782,t,12,33,50,315,66,21,1,4.58,4.7,4.79,4.33,1.4,216.0,32.0,0.3333333333333333,0.2222222222222222,0.0274509803921568,2448.0,-413.0,0.1994993734326,50,499,30
Entire loft,Entire home/apt,4,1.0,1.0,2.0,within a day,100%,f,1.0,1.0,48.85047,2.32361,t,17,47,77,278,66,4,1,4.79,4.85,4.92,4.61,0.73,275.0,8.0,0.2,0.2,0.0082954545454545,2549.0,-314.0,0.1327591804735173,87,400,38
Private room in hostel,Private room,4,1.0,4.0,3.0,within a few hours,80%,f,10.0,12.0,38.96998,-9.41492,t,5,29,57,320,6,0,0,4.67,5.0,4.5,4.83,0.09,62.0,12.0,0.8,0.2,0.0019565217391304,2955.0,245.0,0.2143206320757134,45,236,35
Room in aparthotel,Entire home/apt,2,1.0,1.0,1.0,within an hour,98%,f,13.0,13.0,37.799881,-122.435287,t,21,44,62,334,205,50,6,4.62,4.66,4.74,4.57,4.53,157.0,2.0,0.3333333333333333,0.3333333333333333,0.1415625,978.0,-424.0,0.0718215380880508,31,420,46
Entire home,Entire home/apt,8,3.0,4.0,5.0,within an hour,100%,t,12.0,13.0,-32.2493,152.51451,t,28,39,69,336,66,3,0,4.88,4.85,4.95,4.74,0.53,344.0,40.0,0.4444444444444444,0.3333333333333333,0.0176666666666666,4726.0,-391.0,0.087368949480541,29,412,60
Entire home,Entire home/apt,7,2.0,4.0,5.0,within a day,100%,t,1.0,1.0,48.83369,2.31688,t,2,2,2,4,28,10,0,4.93,4.86,4.79,4.82,0.43,395.0,35.0,0.5,0.25,0.0011878453038674,3909.0,-186.0,0.0605530070819496,361,497,60
Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,,,f,2.0,2.0,45.45657,9.17781,,30,60,90,365,0,0,0,,,,,,900.0,2.0,0.3333333333333333,0.5,,938.0,,,0,0,34
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,t,6.0,11.0,42.36096,-71.12318,t,0,17,47,155,2,2,0,5.0,4.5,4.5,4.0,0.28,90.0,2.0,0.3333333333333333,0.3333333333333333,0.0013270142180094,3136.0,-340.0,0.408248290463863,210,483,24
Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,within a few hours,100%,f,1.0,1.0,52.5085293,13.4535958,t,21,48,78,325,6,6,1,5.0,5.0,4.83,5.0,0.99,250.0,12.0,0.4,0.2,0.0241463414634146,-97.0,-335.0,0.0849999999999999,40,482,32
Cycladic home,Entire home/apt,4,1.0,2.0,3.0,within a few hours,100%,t,6.0,15.0,36.74554,24.42219,t,29,59,89,364,1,1,0,5.0,5.0,5.0,5.0,0.15,350.0,12.0,0.4,0.2,0.075,3422.0,-152.0,0.0,1,411,4
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,t,35.0,55.0,43.64501,-79.3835,t,18,48,78,139,5,3,1,5.0,5.0,5.0,4.6,0.28,210.0,8.0,0.4,0.2,0.0012334801762114,2349.0,-405.0,0.2000000000000001,226,532,39
Entire condo,Entire home/apt,4,2.0,3.0,3.0,within an hour,100%,t,16.0,22.0,49.28092,-123.12683,t,29,59,89,179,4,4,0,4.75,5.0,5.0,4.5,0.41,365.0,12.0,0.6,0.4,0.0021925133689839,2857.0,-308.0,0.2393567769390845,186,469,55
Private room in rental unit,Private room,1,1.0,1.0,1.0,,,f,1.0,2.0,41.073624046249,28.9989681019333,t,0,28,58,333,2,1,0,5.0,5.0,5.0,5.0,0.11,350.0,1.0,0.5,0.5,0.0033333333333333,1984.0,-127.0,0.0,32,86,9
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,91%,f,123.0,177.0,39.47717,-0.37406,t,9,18,23,205,6,0,0,4.5,4.33,5.0,4.17,0.3,267.0,2.0,0.3333333333333333,0.3333333333333333,0.001863354037267,2730.0,-18.0,0.3595367389665021,160,386,22
Entire home,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,t,1.0,1.0,40.85922246019001,14.268048405647278,t,18,35,52,247,37,35,1,4.97,4.95,4.7,4.97,2.89,55.0,6.0,0.25,0.25,0.0242857142857142,2919.0,-427.0,0.1320037878244407,118,428,38
Entire rental unit,Entire home/apt,5,2.0,2.0,3.0,within an hour,100%,f,35.0,37.0,34.062987970363984,-118.23459986608444,t,12,34,64,339,20,18,1,4.75,4.55,4.7,4.45,1.28,202.0,15.0,0.3333333333333333,0.3333333333333333,0.0474074074074074,906.0,-406.0,0.1376892636821525,26,498,50
