property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,total_capacity,bedrooms_per_accommodates,bathrooms_per_accommodates,review_activity_ratio,host_experience_days,days_since_last_review,review_scores_consistency,booking_pressure,description_length,amenities_count
Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,,3.0,5.0,38.71351,-9.16162,t,1,1,1,1,52,10,0,4.71,4.79,4.83,4.6,1.44,126.0,12.0,0.2,0.2,0.003945205479452,3526.0,-368.0,0.1014478519568882,364,390,19
Entire villa,Entire home/apt,9,1.5,3.0,5.0,within an hour,100%,t,60.0,96.0,35.3159,25.38666,t,27,57,87,259,3,0,0,4.67,4.33,4.33,4.67,0.1,360.0,45.0,0.3,0.15,0.0009345794392523,1811.0,170.0,0.1962990915244726,106,332,38
Entire guest suite,Entire home/apt,3,1.0,1.0,2.0,within a few hours,90%,f,1.0,1.0,19.3527171,-99.1939505,t,5,7,33,213,7,7,1,5.0,5.0,5.0,5.0,2.41,870.0,6.0,0.25,0.25,0.0157516339869281,2909.0,-349.0,0.0,152,495,52
Entire vacation home,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,t,1.0,1.0,-34.97212,117.30911,t,7,25,38,127,84,27,1,4.95,4.98,4.96,4.7,2.6,469.0,2.0,0.3333333333333333,0.3333333333333333,0.0108786610878661,2955.0,-335.0,0.1322560647632715,238,500,50
Entire villa,Entire home/apt,4,1.0,2.0,3.0,within an hour,100%,t,2.0,2.0,37.00531,15.32188,t,17,43,51,261,156,27,0,4.91,4.94,4.81,4.85,1.51,139.0,12.0,0.4,0.2,0.0143809523809523,4560.0,-327.0,0.0585234995535985,104,225,74
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,t,2.0,2.0,39.83858,3.12419,t,7,25,45,144,105,24,1,4.85,4.9,4.97,4.74,0.9,100.0,8.0,0.4,0.2,0.004054054054054,3746.0,-428.0,0.0967815409397197,221,206,62
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,t,35.0,35.0,51.508426738756334,-0.340433945269202,t,21,51,81,356,0,0,0,,,,,,65.0,2.0,0.3333333333333333,0.3333333333333333,,222.0,,,9,510,18
Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,f,449.0,961.0,38.0815791,12.6869024,t,30,60,90,365,2,1,0,4.5,5.0,4.5,4.5,0.07,47.0,12.0,0.2,0.2,0.07,1984.0,-259.0,0.25,0,416,25
Entire bungalow,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,t,3.0,3.0,34.05285,-118.18046,t,21,51,81,149,12,12,4,5.0,5.0,4.83,4.92,2.75,140.0,6.0,0.25,0.25,0.0126728110599078,-268.0,-419.0,0.0809835374217089,216,500,53
Entire rental unit,Entire home/apt,8,1.0,3.0,3.0,,,f,2.0,2.0,51.47005,-0.16076,t,17,31,55,212,5,4,0,4.4,4.0,4.4,4.6,0.41,499.0,24.0,0.3333333333333333,0.1111111111111111,0.0026623376623376,92.0,-146.0,0.2516611478423582,153,513,36
Entire condo,Entire home/apt,4,1.0,1.0,2.0,,,f,1.0,1.0,55.95146933163674,-3.184158047359115,t,0,0,0,180,0,0,0,,,,,,246.0,8.0,0.2,0.2,,2899.0,,,185,493,42
Private room in rental unit,Private room,1,1.0,1.0,1.0,within a day,100%,f,1.0,1.0,48.88678504504925,2.3481738749330403,,1,24,54,54,0,0,0,,,,,,60.0,1.0,0.5,0.5,,958.0,,,311,0,5
Entire home,Entire home/apt,10,2.0,5.0,8.0,within an hour,100%,f,3.0,4.0,38.70558,-9.39422,t,2,2,2,2,11,3,0,4.73,4.64,5.0,4.73,0.24,299.0,80.0,0.4545454545454545,0.1818181818181818,0.0006593406593406,3415.0,-274.0,0.1558845726811989,363,500,38
Entire condo,Entire home/apt,4,1.0,1.0,1.0,within an hour,100%,f,1.0,1.0,45.434338,12.348248,t,15,18,21,74,120,37,0,4.81,4.89,4.95,4.78,3.38,77.0,4.0,0.2,0.2,0.0115753424657534,959.0,-370.0,0.077190241179396,291,212,40
Entire rental unit,Entire home/apt,5,2.0,2.0,4.0,within an hour,94%,t,8.0,8.0,35.9213869,14.4903171,t,0,0,25,148,40,13,1,4.8,4.75,4.8,4.85,1.33,120.0,20.0,0.3333333333333333,0.3333333333333333,0.0061009174311926,1491.0,-343.0,0.0408248290463861,217,470,60
Entire villa,Entire home/apt,4,2.0,2.0,2.0,within an hour,100%,t,26.0,33.0,35.03748,24.78178,t,30,60,90,323,2,2,0,5.0,5.0,5.0,5.0,0.41,430.0,8.0,0.4,0.4,0.0095348837209302,3190.0,-241.0,0.0,42,486,53
Entire condo,Entire home/apt,4,1.0,1.0,2.0,within an hour,99%,f,775.0,1110.0,41.2734692,16.4255023,t,29,59,89,364,1,1,0,5.0,5.0,5.0,5.0,0.22,75.0,8.0,0.2,0.2,0.11,2201.0,-232.0,0.0,1,433,20
Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,within an hour,100%,t,2.0,2.0,32.82051,-96.82818,t,0,0,0,0,25,25,2,5.0,4.96,4.8,4.84,3.57,163.0,4.0,0.2,0.2,0.0097540983606557,881.0,-424.0,0.0952190457139047,365,510,57
