property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,beds_per_bedroom,amenities_count,host_tenure_days,description_len,availability_30_ratio,days_since_last_review
Entire rental unit,Entire home/apt,1,1.0,1.0,1.0,within an hour,100%,1.0,5.0,7.0,37.80289,-122.41986,1.0,15,23,23,83,14,1,0,4.86,4.69,4.92,4.85,0.1,143.0,1.0,19,4436.0,432,0.5,321.0
Entire vacation home,Entire home/apt,5,1.0,1.0,3.0,within a few hours,100%,,16.0,24.0,45.45137,9.14925,1.0,23,43,64,229,12,4,1,4.92,4.92,4.75,4.75,0.56,71.0,3.0,49,2941.0,536,0.7666666666666667,12.0
Entire rental unit,Entire home/apt,8,2.0,2.0,4.0,within an hour,100%,0.0,2.0,2.0,25.9874119,-80.119025,1.0,24,37,61,135,0,0,0,,,,,,500.0,2.0,18,2946.0,430,0.8,
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,,6.0,9.0,38.70343,-9.39813,1.0,29,59,89,364,56,17,0,4.89,4.96,4.88,4.7,1.28,126.0,1.0,46,3333.0,499,0.9666666666666668,169.0
Entire serviced apartment,Entire home/apt,2,1.0,0.0,1.0,within an hour,100%,1.0,1.0,2.0,51.4656,-2.61748,1.0,15,32,51,132,408,79,5,4.95,4.94,4.95,4.88,6.89,94.0,,34,1851.0,217,0.5,87.0
Entire condo,Entire home/apt,7,1.0,3.0,4.0,within an hour,100%,1.0,4.0,6.0,35.95813,14.36936,1.0,12,12,36,231,38,14,1,4.92,4.95,4.89,4.92,0.36,125.0,1.3333333333333333,52,3608.0,219,0.4,104.0
Entire rental unit,Entire home/apt,4,2.0,3.0,3.0,within a few hours,100%,1.0,9.0,17.0,29.9626674,-90.0774187,1.0,30,60,90,269,1,0,0,5.0,5.0,5.0,5.0,0.08,150.0,1.0,53,3178.0,147,1.0,377.0
Entire home,Entire home/apt,2,1.0,1.0,1.0,within a day,90%,0.0,7.0,8.0,36.9567154028696,-121.97606677683662,1.0,4,4,13,120,2,2,0,5.0,5.0,5.0,5.0,0.65,133.0,1.0,18,1299.0,519,0.1333333333333333,104.0
Entire villa,Entire home/apt,8,3.0,3.0,8.0,within an hour,100%,0.0,1.0,1.0,39.54209,2.44396,1.0,29,58,86,262,1,1,0,5.0,5.0,5.0,5.0,0.13,465.0,2.6666666666666665,47,266.0,304,0.9666666666666668,235.0
Entire loft,Entire home/apt,3,1.0,1.0,1.0,within an hour,99%,1.0,31.0,38.0,34.008562447632634,-118.23003989357964,1.0,29,59,89,269,11,7,0,5.0,4.91,4.55,5.0,0.6,173.0,1.0,55,966.0,498,0.9666666666666668,207.0
