property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,beds_per_bedroom,amenities_count,host_tenure_days,description_len,availability_30_ratio,days_since_last_review
Entire villa,Entire home/apt,5,1.0,2.0,3.0,within an hour,76%,False,1430.0,3254.0,40.29051,17.84063,True,0,0,0,90,3,3,0,4.33,5.0,4.33,4.67,0.45,98.0,1.5,16,4151.0,228,0.0,244.0
Entire rental unit,Entire home/apt,5,1.0,0.0,3.0,within an hour,100%,False,115.0,230.0,-22.965335795528155,-43.17977426274253,True,6,33,49,183,45,33,3,4.76,4.82,4.76,4.76,2.92,918.0,unknown,26,1937.0,388,0.2,91.0
Private room in home,Private room,2,1.0,1.0,2.0,within a day,100%,True,3.0,7.0,39.57885,2.39592,True,29,50,80,355,50,5,0,4.92,4.75,4.86,4.8,0.39,75.0,2.0,8,4060.0,269,0.9666666666666668,158.0
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within a day,78%,False,1.0,2.0,-22.97917,-43.19146,True,21,26,46,294,23,4,1,4.83,4.78,4.96,4.7,0.24,811.0,2.0,51,3277.0,520,0.7,103.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a few hours,100%,True,1.0,1.0,-22.9348591,-43.1771426,True,11,41,65,245,15,15,1,5.0,5.0,5.0,4.87,2.16,343.0,1.0,22,2997.0,473,0.3666666666666666,81.0
Private room in home,Private room,2,1.5,1.0,1.0,missing,missing,False,1.0,2.0,51.55724,0.12172,True,30,60,90,180,0,0,0,4.86,4.87,4.88,4.77,0.87,60.0,1.0,15,2119.0,396,1.0,unknown
Entire condo,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,True,1.0,1.0,43.80217,11.21666,True,0,2,18,18,83,32,2,4.93,4.91,4.54,4.83,2.49,50.0,2.0,44,2056.0,326,0.0,2.0
Entire villa,Entire home/apt,8,3.0,4.0,5.0,missing,missing,False,1.0,3.0,41.9830436706543,2.828929901123047,True,0,0,0,88,6,0,0,5.0,4.5,4.5,4.83,0.14,522.0,1.25,47,3969.0,446,0.0,573.0
Entire rental unit,Entire home/apt,5,1.0,3.0,4.0,within an hour,98%,False,134.0,179.0,41.41150772980684,2.166865243610872,True,11,29,51,286,33,33,2,4.39,4.33,4.61,4.33,2.98,150.0,1.3333333333333333,24,4866.0,425,0.3666666666666666,32.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,True,2.0,2.0,41.93558,-87.65865,True,1,23,49,268,10,2,0,4.8,4.7,4.9,4.3,0.32,77.0,1.0,36,3861.0,481,0.0333333333333333,118.0
Private room in home,Private room,1,0.5,1.0,1.0,missing,missing,False,1.0,2.0,-37.79442,144.84623,True,12,42,72,73,1,0,0,5.0,5.0,5.0,5.0,0.07,60.0,1.0,10,428.0,130,0.4,418.0
Private room in rental unit,Private room,5,1.0,1.0,4.0,missing,missing,False,1.0,1.0,45.52087,9.16982,True,30,60,90,180,4,0,0,4.75,5.0,5.0,4.5,0.05,270.0,4.0,26,2406.0,82,1.0,2342.0
Entire guesthouse,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,False,2.0,4.0,48.43429,-123.39807,True,0,1,1,247,107,28,0,4.66,4.73,4.63,4.51,1.04,250.0,1.0,35,3399.0,280,0.0,151.0
Entire cottage,Entire home/apt,4,2.0,2.0,4.0,within an hour,89%,False,9.0,15.0,53.42065,-6.56857,True,30,60,90,270,7,1,0,4.43,4.71,4.57,4.43,0.1,275.0,2.0,38,3543.0,320,1.0,256.0
Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,True,1.0,1.0,37.28148,13.59636,True,29,59,89,364,151,21,0,4.71,4.89,4.68,4.62,1.49,160.0,1.0,37,3116.0,478,0.9666666666666668,131.0
Entire rental unit,Entire home/apt,6,1.0,2.0,6.0,missing,missing,False,1.0,1.0,40.17691,18.17908,True,0,0,0,0,7,0,0,4.43,5.0,4.43,4.29,0.07,23.0,3.0,10,3532.0,471,0.0,2394.0
Entire home,Entire home/apt,7,1.0,2.0,3.0,within an hour,100%,True,1.0,1.0,40.10202,18.45264,True,0,0,0,265,90,11,0,4.77,4.92,4.54,4.82,1.0,80.0,1.5,45,2846.0,468,0.0,153.0
Entire condo,Entire home/apt,4,1.0,2.0,2.0,missing,missing,False,1.0,1.0,42.24887,3.12921,True,27,57,87,362,0,0,0,4.86,4.87,4.88,4.77,0.87,115.0,1.0,9,1365.0,128,0.9,unknown
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,a few days or more,44%,False,3.0,4.0,44.48652,11.34169,True,17,31,57,145,1,1,0,5.0,5.0,4.0,4.0,0.11,86.0,2.0,12,615.0,499,0.5666666666666667,271.0
Cycladic home,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,False,2.0,5.0,36.4639,25.3946,True,0,0,0,200,89,34,0,4.83,4.85,4.66,4.72,2.18,194.0,1.0,29,1716.0,281,0.0,141.0
Entire rental unit,Entire home/apt,5,1.0,1.0,0.0,within an hour,100%,False,4.0,4.0,38.219,15.23815,True,29,59,89,180,2,2,0,5.0,5.0,4.5,5.0,1.18,65.0,0.0,23,345.0,75,0.9666666666666668,117.0
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,within an hour,100%,False,1.0,1.0,45.474548,9.12488,True,21,51,73,307,62,9,0,4.92,4.98,4.97,4.74,1.34,70.0,unknown,53,2488.0,207,0.7,140.0
Entire condo,Entire home/apt,2,1.0,0.0,1.0,within an hour,100%,False,303.0,355.0,21.27496679821088,-157.82266115344854,True,6,25,49,129,21,15,0,4.76,4.86,4.95,4.9,1.19,103.0,unknown,18,3871.0,438,0.2,31.0
Entire home,Entire home/apt,14,3.0,5.0,9.0,within an hour,100%,True,3.0,10.0,37.70257,-122.46342,True,30,60,90,221,2,0,0,5.0,4.5,5.0,4.5,0.03,555.0,1.8,33,3155.0,450,1.0,803.0
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,within an hour,100%,False,225.0,506.0,51.488222,-2.5851802,True,23,53,83,358,10,7,1,4.3,4.6,4.7,4.4,0.63,61.0,unknown,27,3263.0,168,0.7666666666666667,91.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,False,7.0,8.0,40.41216,-3.70679,True,12,29,56,56,125,18,2,4.82,4.78,4.94,4.7,2.61,115.0,1.0,46,3922.0,383,0.4,26.0
Entire rental unit,Entire home/apt,3,1.0,0.0,2.0,within an hour,99%,False,231.0,717.0,51.51498,-0.17921,True,10,40,70,178,1,1,1,5.0,5.0,4.0,5.0,1.0,44.0,unknown,43,3411.0,484,0.3333333333333333,110.0
Private room in rental unit,Private room,2,0.5,1.0,1.0,within an hour,83%,False,1.0,4.0,-37.82266,145.02602,True,0,0,28,29,7,7,0,5.0,5.0,5.0,5.0,1.15,85.0,1.0,51,2588.0,536,0.0,47.0
Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,within an hour,100%,True,8.0,8.0,40.74174,17.46445,True,0,0,11,152,56,29,0,4.89,4.96,4.84,4.82,0.48,180.0,1.5,19,4362.0,348,0.0,136.0
Entire rental unit,Entire home/apt,3,1.5,1.0,2.0,within an hour,98%,False,247.0,431.0,-22.98178672099742,-43.19200560403872,True,7,16,46,321,2,2,2,5.0,5.0,5.0,5.0,2.0,683.0,2.0,29,4340.0,452,0.2333333333333333,87.0
Entire vacation home,Entire home/apt,6,2.5,3.0,6.0,within an hour,100%,False,1.0,1.0,39.58041,3.025563,True,21,21,27,198,6,0,0,4.83,4.67,4.67,4.83,0.18,370.0,2.0,56,1166.0,490,0.7,573.0
Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,missing,missing,False,1.0,1.0,35.86042,14.53517,True,17,47,77,345,3,1,0,5.0,5.0,4.67,4.67,0.12,75.0,1.0,14,2129.0,513,0.5666666666666667,236.0
Tiny home,Entire home/apt,2,1.0,0.0,1.0,missing,missing,False,1.0,2.0,37.06297,25.54844,True,27,57,87,362,14,4,0,5.0,4.93,4.79,4.86,0.33,50.0,unknown,35,1704.0,465,0.9,177.0
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,False,1.0,3.0,37.9721,15.38286,True,28,58,88,363,6,1,0,4.17,3.67,4.83,4.17,0.06,40.0,2.0,18,3115.0,432,0.9333333333333332,208.0
Room in hotel,Private room,2,1.0,1.0,1.0,within an hour,99%,True,5.0,5.0,41.52134,-71.28657,True,27,57,87,335,80,57,11,4.84,4.99,4.78,4.73,5.39,114.0,1.0,23,608.0,524,0.9,74.0
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,False,6.0,6.0,41.86959,16.16971,True,0,0,0,257,16,12,0,4.94,5.0,5.0,4.94,0.88,135.0,2.0,40,683.0,435,0.0,189.0
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,97%,False,480.0,578.0,45.44169,9.22184,True,8,8,8,114,7,0,0,4.0,4.0,4.57,4.29,0.15,75.0,2.0,27,3675.0,345,0.2666666666666666,566.0
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,73%,True,5.0,5.0,48.47027,-123.3777,True,26,55,85,171,81,67,0,4.75,4.81,4.7,4.7,4.7,83.0,1.0,35,543.0,922,0.8666666666666667,72.0
Private room in rental unit,Private room,1,1.0,1.0,1.0,within a few hours,100%,False,1.0,1.0,-22.963947844333845,-43.176756374866834,True,17,46,69,344,0,0,0,4.86,4.87,4.88,4.77,0.87,225.0,1.0,6,1297.0,492,0.5666666666666667,unknown
Entire rental unit,Entire home/apt,4,1.5,1.0,1.0,within a few hours,95%,True,17.0,35.0,43.7692,11.26166,True,10,40,55,316,131,21,0,4.79,4.76,4.97,4.66,1.93,82.0,1.0,22,5131.0,482,0.3333333333333333,69.0
Private room in resort,Private room,4,1.0,1.0,1.0,within an hour,100%,False,11.0,12.0,17.739948,-88.02488,True,17,38,63,276,34,13,0,4.44,4.65,4.56,4.5,0.95,219.0,1.0,29,1368.0,475,0.5666666666666667,111.0
Entire rental unit,Entire home/apt,3,1.0,0.0,2.0,within an hour,100%,True,2.0,5.0,48.85504,2.36357,True,13,43,73,254,449,75,3,4.84,4.83,4.97,4.71,4.81,102.0,unknown,23,3471.0,285,0.4333333333333333,104.0
Entire guest suite,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,True,1.0,1.0,36.23614,-86.72927,True,14,40,66,150,414,42,2,4.87,4.85,4.83,4.88,4.93,108.0,2.0,73,2738.0,526,0.4666666666666667,13.0
Room in boutique hotel,Private room,2,1.0,1.0,1.0,within an hour,99%,False,44.0,47.0,41.38578,2.16406,True,0,0,0,0,22,14,2,5.0,5.0,5.0,4.86,0.65,382.0,1.0,19,1481.0,487,0.0,23.0
Entire rental unit,Entire home/apt,4,1.5,1.0,2.0,within an hour,100%,True,3.0,3.0,40.84948215158487,14.26257636398077,True,0,0,0,0,64,32,2,4.95,4.97,4.91,4.95,2.88,75.0,2.0,39,2660.0,468,0.0,15.0
Room in hotel,Private room,3,1.0,0.0,1.0,missing,missing,False,5.0,5.0,41.388649,2.171236,True,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,0.03,297.0,unknown,11,1326.0,438,0.0,931.0
Entire rental unit,Entire home/apt,5,2.0,2.0,2.0,a few days or more,33%,False,1.0,1.0,-23.0227,-43.47457,True,24,54,84,264,2,1,0,3.0,3.0,3.0,3.0,0.15,420.0,1.0,6,1722.0,157,0.8,394.0
Private room in home,Private room,2,1.0,1.0,2.0,within a few hours,100%,False,1.0,1.0,52.1038492131876,-7.57399992980507,True,28,58,88,363,2,2,2,4.5,5.0,5.0,5.0,2.0,50.0,2.0,8,3894.0,276,0.9333333333333332,94.0
Private room in home,Private room,2,1.5,1.0,1.0,missing,missing,False,1.0,8.0,45.49276,-122.53996,True,30,60,90,365,19,0,0,4.58,4.68,4.58,4.74,0.47,50.0,1.0,18,2038.0,0,1.0,933.0
Entire rental unit,Entire home/apt,7,1.0,3.0,6.0,within an hour,92%,False,11.0,12.0,41.40018168479912,2.181138596938141,True,7,16,24,216,0,0,0,4.86,4.87,4.88,4.77,0.87,139.0,2.0,11,94.0,80,0.2333333333333333,unknown
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,True,72.0,101.0,-37.80240571888813,144.9873449481652,True,0,0,0,0,27,13,0,4.85,4.96,4.93,4.7,1.13,235.0,1.0,37,4110.0,416,0.0,131.0
Entire condo,Entire home/apt,6,2.0,2.0,3.0,within an hour,100%,True,1.0,1.0,25.9881,-80.11769,True,1,4,4,156,83,40,2,4.96,4.98,4.98,4.94,3.29,441.0,1.5,61,845.0,527,0.0333333333333333,102.0
Entire condo,Entire home/apt,2,1.0,1.0,1.0,within a few hours,90%,False,2.0,2.0,19.47755,-99.0926,True,14,44,74,74,9,9,1,4.11,3.78,4.0,4.44,1.14,383.0,1.0,26,993.0,458,0.4666666666666667,97.0
Entire villa,Entire home/apt,4,1.0,2.0,7.0,missing,missing,False,4.0,4.0,40.68234,17.81759,True,28,58,88,268,3,0,0,5.0,5.0,4.67,4.67,0.06,90.0,3.5,44,3561.0,352,0.9333333333333332,1326.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a few hours,100%,True,7.0,7.0,37.85503,15.28202,True,10,10,10,11,26,1,0,4.73,5.0,4.58,4.77,0.23,98.0,1.0,54,3612.0,244,0.3333333333333333,171.0
Entire condo,Entire home/apt,4,2.0,2.0,2.0,within an hour,100%,True,1.0,1.0,50.84935681396358,4.339929849694866,True,15,30,54,324,147,81,7,4.95,4.9,4.76,4.89,6.84,156.0,1.0,45,2253.0,491,0.5,1.0
Entire home,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,False,1.0,1.0,44.71269,-66.74909,True,29,59,89,183,1,1,0,5.0,5.0,5.0,5.0,0.63,156.0,1.0,47,3831.0,390,0.9666666666666668,122.0
Entire rental unit,Entire home/apt,4,2.0,1.0,2.0,within an hour,100%,True,3.0,4.0,40.35476,18.1576,True,23,53,83,184,5,5,0,5.0,4.8,4.8,4.8,0.54,61.0,2.0,41,4357.0,370,0.7666666666666667,127.0
Entire condo,Entire home/apt,6,2.0,3.0,0.0,within an hour,100%,True,3.0,3.0,53.51591,-6.40328,True,14,44,71,226,37,37,4,4.97,4.92,4.78,4.76,5.36,188.0,0.0,30,322.0,165,0.4666666666666667,96.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a few hours,80%,True,2.0,2.0,48.8387093428784,2.348372385609016,True,2,13,43,228,8,5,1,4.63,4.13,5.0,4.38,0.51,82.0,1.0,22,940.0,381,0.0666666666666666,115.0
Private room in home,Private room,1,1.0,1.0,1.0,within an hour,100%,True,6.0,6.0,46.17305,6.1806,True,15,15,15,15,9,2,0,5.0,5.0,4.89,5.0,0.47,53.0,1.0,22,2868.0,234,0.5,247.0
Entire home,Entire home/apt,8,2.5,4.0,6.0,within an hour,100%,False,1.0,1.0,32.91983,-117.22167,True,19,49,79,169,156,0,0,4.95,4.93,4.91,4.88,1.7,289.0,1.5,46,2851.0,498,0.6333333333333333,1254.0
Entire home,Entire home/apt,4,1.0,1.0,2.0,missing,missing,False,1.0,1.0,40.53519,17.42687,True,30,60,90,90,2,0,0,4.5,5.0,4.5,5.0,0.03,85.0,2.0,35,3234.0,165,1.0,2029.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,within a day,60%,False,4.0,17.0,-37.8128,144.95467,True,30,60,90,91,0,0,0,4.86,4.87,4.88,4.77,0.87,184.0,1.0,18,1903.0,77,1.0,unknown
Entire condo,Entire home/apt,2,1.0,1.0,1.0,missing,missing,False,1.0,2.0,43.63708,-79.39198,True,29,59,89,364,5,0,0,4.0,4.0,4.2,4.0,0.04,100.0,1.0,26,4511.0,290,0.9666666666666668,2841.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,100%,False,3.0,3.0,40.841183,14.2469978,True,11,30,51,220,2,2,0,5.0,5.0,5.0,5.0,0.36,74.0,1.0,30,380.0,430,0.3666666666666666,117.0
Entire home,Entire home/apt,10,3.0,5.0,8.0,within an hour,100%,False,1.0,1.0,34.17797,-118.6276,True,1,28,58,58,1,1,0,5.0,5.0,5.0,5.0,0.47,414.0,1.6,78,115.0,500,0.0333333333333333,75.0
Entire serviced apartment,Entire home/apt,5,2.0,1.0,1.0,missing,missing,False,1.0,2.0,43.6677,-79.39361,True,23,53,83,358,30,0,0,4.77,4.77,4.93,4.69,0.22,294.0,1.0,12,4091.0,205,0.7666666666666667,2771.0
Entire cottage,Entire home/apt,6,1.0,3.0,4.0,within an hour,100%,False,2.0,2.0,46.34154,-64.57173,True,0,0,0,0,18,7,0,4.61,4.39,4.61,4.44,0.57,140.0,1.3333333333333333,53,1159.0,147,0.0,201.0
Entire vacation home,Entire home/apt,2,1.0,1.0,1.0,within a day,100%,True,3.0,3.0,40.0548751,17.9741406,True,30,60,90,360,1,1,0,5.0,5.0,5.0,5.0,0.22,107.0,1.0,27,2768.0,260,1.0,211.0
Private room in home,Private room,4,1.0,1.0,0.0,within a day,50%,True,1.0,1.0,53.53548,-9.26104,True,14,44,74,243,11,11,0,4.91,4.91,5.0,4.91,1.29,73.0,0.0,16,3135.0,381,0.4666666666666667,146.0
Entire home,Entire home/apt,4,1.0,1.0,1.0,missing,missing,False,1.0,1.0,38.10509,13.34806,True,28,58,88,363,2,0,0,5.0,5.0,5.0,5.0,0.03,80.0,1.0,13,2160.0,391,0.9333333333333332,1286.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,97%,False,18.0,22.0,-37.887830211265296,144.9877985338141,True,14,44,74,196,5,5,2,4.4,4.2,4.4,4.0,1.23,129.0,1.0,39,2720.0,111,0.4666666666666667,29.0
Cycladic home,Entire home/apt,5,1.5,2.0,3.0,missing,missing,False,1.0,1.0,37.07042,25.52138,True,19,49,79,354,4,4,0,4.75,4.75,5.0,4.75,0.83,85.0,1.5,34,688.0,414,0.6333333333333333,177.0
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,True,1.0,1.0,26.13248,-80.1259,True,15,45,75,75,196,16,0,4.89,4.93,4.9,4.81,1.64,128.0,1.0,49,3668.0,494,0.5,341.0
Entire rental unit,Entire home/apt,5,1.0,2.0,5.0,within an hour,100%,True,5.0,6.0,41.15152,-8.61189,True,8,12,16,144,108,23,3,4.81,4.91,4.77,4.8,0.86,112.0,2.5,26,3858.0,242,0.2666666666666666,20.0
Entire home,Entire home/apt,16,3.0,4.0,8.0,within a few hours,100%,True,1.0,1.0,35.6126007,-82.6482387,True,11,24,42,257,17,17,1,4.94,4.88,4.94,4.82,1.97,443.0,2.0,58,2879.0,551,0.3666666666666666,26.0
Entire home,Entire home/apt,6,2.0,3.0,3.0,missing,missing,False,1.0,1.0,30.24326,-97.77357,True,14,14,25,25,0,0,0,4.86,4.87,4.88,4.77,0.87,689.0,1.0,18,4599.0,500,0.4666666666666667,unknown
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,False,4660.0,4957.0,47.6082792,-122.330229,True,0,20,50,325,0,0,0,4.86,4.87,4.88,4.77,0.87,105.0,1.0,34,3003.0,303,0.0,unknown
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,within an hour,90%,False,8.0,8.0,38.72174,-9.12557,True,18,35,52,317,4,0,0,4.75,4.75,4.25,4.25,0.04,150.0,1.5,22,2812.0,131,0.6,1227.0
Private room in condo,Private room,1,1.0,1.0,1.0,within a day,100%,False,2.0,2.0,46.44862,6.90553,True,30,60,90,365,2,1,0,2.5,4.5,5.0,4.0,0.04,35.0,1.0,15,1440.0,349,1.0,346.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,False,1.0,1.0,52.50415,13.47838,True,19,41,41,41,37,13,1,4.97,4.95,4.95,4.89,0.42,94.0,1.0,38,3026.0,531,0.6333333333333333,89.0
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,False,1.0,3.0,45.50823,-73.57325,True,21,37,61,253,0,0,0,4.86,4.87,4.88,4.77,0.87,145.0,1.0,29,1892.0,398,0.7,unknown
Shared room in hostel,Shared room,1,2.0,1.0,1.0,within a few hours,100%,True,6.0,19.0,40.78318,-8.50071,True,30,60,90,365,4,1,1,4.25,4.0,4.5,4.0,0.05,17.0,1.0,15,3789.0,307,1.0,10.0
Private room in townhouse,Private room,2,1.0,1.0,1.0,within an hour,100%,True,1.0,2.0,30.32399,-97.68686,True,7,7,7,224,71,23,0,4.94,4.96,4.9,4.9,2.84,44.0,1.0,51,4056.0,385,0.2333333333333333,88.0
Private room in rental unit,Private room,1,1.0,1.0,1.0,within an hour,100%,False,32.0,45.0,35.592164672498875,-82.55172220432566,True,27,57,87,362,0,0,0,4.86,4.87,4.88,4.77,0.87,38.0,1.0,19,3439.0,406,0.9,unknown
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,100%,True,3.0,3.0,41.40547,2.15666,True,18,31,43,310,88,38,1,4.83,4.92,4.93,4.67,2.81,54.0,1.0,32,1730.0,443,0.6,12.0
Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,within an hour,100%,False,2.0,2.0,38.1054873,13.4999031,True,23,53,83,229,4,3,0,5.0,5.0,5.0,5.0,0.28,72.0,1.5,58,1083.0,66,0.7666666666666667,153.0
Private room in bed and breakfast,Private room,2,1.0,1.0,2.0,within a few hours,100%,True,3.0,6.0,13.924128299000037,100.59835137480012,True,25,55,85,360,25,9,0,4.64,4.92,4.64,4.64,0.31,850.0,2.0,39,3697.0,386,0.8333333333333334,160.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,True,2.0,5.0,43.65178045551701,-79.44096885049314,True,0,30,60,60,0,0,0,4.86,4.87,4.88,4.77,0.87,93.0,1.0,32,4533.0,454,0.0,unknown
Entire home,Entire home/apt,6,2.5,3.0,4.0,within an hour,100%,True,1.0,1.0,51.51152670415639,-0.2267147228121757,True,5,5,15,15,12,12,1,5.0,4.92,4.83,4.83,2.18,193.0,1.3333333333333333,33,2077.0,520,0.1666666666666666,103.0
Entire home,Entire home/apt,4,2.0,2.0,4.0,within an hour,100%,False,3.0,5.0,34.12597,-118.22577,True,30,60,90,365,31,0,0,4.45,4.33,4.83,4.34,0.21,304.0,2.0,44,4667.0,248,1.0,1900.0
Entire townhouse,Entire home/apt,5,2.5,2.0,2.0,within an hour,93%,False,22.0,45.0,-27.47213,153.14384,True,29,59,89,179,7,2,0,4.71,4.71,4.86,4.71,0.24,276.0,1.0,64,1166.0,170,0.9666666666666668,160.0
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,True,23.0,23.0,33.98953,-117.90267,True,30,60,90,365,8,8,1,5.0,4.88,4.88,4.75,0.91,53.0,1.0,40,883.0,154,1.0,42.0
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,False,3.0,3.0,41.51393146887621,15.905647985637188,True,30,60,90,177,4,4,1,3.5,4.25,3.0,3.25,0.48,49.0,2.0,36,654.0,299,1.0,94.0
Room in hotel,Private room,2,1.0,1.0,1.0,within an hour,86%,False,7.0,7.0,37.78951,-122.40376,True,27,57,87,362,43,21,0,4.26,4.23,4.74,4.4,1.21,68.0,1.0,16,1935.0,374,0.9,119.0
Private room in home,Private room,2,1.0,1.0,2.0,within a day,100%,False,8.0,8.0,40.85280303312399,-73.8863874594537,True,0,0,0,62,4,1,0,4.75,5.0,5.0,4.5,0.19,42.0,2.0,65,1341.0,512,0.0,318.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,100%,True,3.0,3.0,-22.9741036,-43.1892287,True,0,0,16,16,9,9,1,5.0,5.0,5.0,5.0,1.07,161.0,1.0,34,3901.0,219,0.0,106.0
Private room in guest suite,Private room,2,1.0,1.0,1.0,within an hour,100%,False,1.0,3.0,51.53691,-0.2427,True,8,32,43,276,152,29,4,4.68,4.52,4.53,4.68,1.73,46.0,1.0,39,4245.0,459,0.2666666666666666,97.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,False,16.0,17.0,41.8970541,-87.63437979999999,True,24,54,79,289,60,13,0,4.77,4.82,4.92,4.63,1.52,310.0,1.0,44,91.0,494,0.8,159.0
Entire townhouse,Entire home/apt,5,1.0,3.0,3.0,within a few hours,100%,True,1.0,1.0,-37.85767,144.98688,True,4,34,64,245,81,2,0,4.96,4.96,4.86,4.89,0.76,315.0,1.0,46,4659.0,440,0.1333333333333333,68.0
Tiny home,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,False,2.0,2.0,36.2013,-115.1079,True,25,55,81,261,81,52,4,4.78,4.89,4.17,4.65,4.73,70.0,1.0,39,2087.0,493,0.8333333333333334,13.0
Entire home,Entire home/apt,4,2.0,2.0,2.0,within an hour,100%,True,3.0,3.0,30.30799,-97.7015,True,7,31,59,148,538,54,3,4.95,4.96,4.77,4.91,4.48,147.0,1.0,48,4026.0,1000,0.2333333333333333,14.0
Entire rental unit,Entire home/apt,14,3.0,5.0,11.0,within an hour,100%,False,64.0,124.0,38.7255,-9.13608,True,8,14,21,127,171,23,1,4.76,4.74,4.62,4.68,1.77,270.0,2.2,39,4680.0,472,0.2666666666666666,2.0
Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,within an hour,100%,True,1.0,1.0,45.44343,12.33499,True,17,25,35,206,519,75,5,4.78,4.82,4.93,4.73,4.9,163.0,1.5,22,3194.0,493,0.5666666666666667,15.0
Entire home,Entire home/apt,10,2.0,3.0,7.0,within an hour,100%,True,9.0,14.0,32.71656,-117.13965,True,0,27,38,123,119,6,0,4.87,4.92,4.94,4.85,1.21,566.0,2.3333333333333335,69,4407.0,372,0.0,215.0
Entire condo,Entire home/apt,4,1.0,1.0,2.0,missing,missing,False,1.0,1.0,43.64453,-79.39068,True,29,59,89,364,1,0,0,5.0,4.0,5.0,5.0,0.01,403.0,2.0,36,2111.0,321,0.9666666666666668,2017.0
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,within an hour,100%,False,1.0,2.0,19.459440703626928,-99.10986509174109,True,30,60,90,365,4,4,0,5.0,5.0,4.5,4.75,1.56,721.0,unknown,14,1187.0,81,1.0,131.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,missing,missing,False,1.0,1.0,53.3392859,-6.2732245,True,4,23,44,66,0,0,0,4.86,4.87,4.88,4.77,0.87,53.0,1.0,45,3063.0,494,0.1333333333333333,unknown
Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,missing,missing,False,1.0,1.0,41.08748,28.99885,True,0,0,0,151,2,0,0,5.0,5.0,4.5,4.5,0.08,550.0,1.0,13,852.0,272,0.0,788.0
Private room in condo,Private room,2,1.0,1.0,2.0,within a few hours,100%,False,1.0,2.0,13.68423,100.62764,True,24,54,84,359,7,4,1,5.0,5.0,4.86,5.0,0.24,950.0,2.0,13,1176.0,206,0.8,82.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,90%,False,2.0,2.0,-27.450402834297936,153.04293754215658,True,12,36,66,66,2,2,1,4.0,5.0,5.0,4.0,1.58,218.0,1.0,12,1914.0,491,0.4,28.0
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,False,1.0,1.0,45.41278542399137,12.37024790267368,True,30,30,30,154,17,17,0,4.71,4.65,4.88,4.53,1.61,90.0,2.0,38,426.0,151,1.0,70.0
