property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,beds_per_bedroom,amenities_count,host_tenure_days,description_len,availability_30_ratio,days_since_last_review
Entire villa,Entire home/apt,4,1.0,2.0,3.0,within an hour,100%,True,2.0,2.0,37.00531,15.32188,True,17,43,51,261,156,27,0,4.91,4.94,4.81,4.85,1.51,139.0,1.5,74,4991.0,225,0.5666666666666667,111.0
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,True,2.0,2.0,39.83858,3.12419,True,7,25,45,144,105,24,1,4.85,4.9,4.97,4.74,0.9,100.0,1.0,62,4177.0,206,0.2333333333333333,10.0
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,True,35.0,35.0,51.508426738756334,-0.340433945269202,True,21,51,81,356,0,0,0,4.86,4.87,4.88,4.77,0.87,65.0,1.0,18,653.0,510,0.7,unknown
Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,False,449.0,961.0,38.0815791,12.6869024,True,30,60,90,365,2,1,0,4.5,5.0,4.5,4.5,0.07,47.0,3.0,25,2415.0,416,1.0,179.0
Entire bungalow,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,True,3.0,3.0,34.05285,-118.18046,True,21,51,81,149,12,12,4,5.0,5.0,4.83,4.92,2.75,140.0,2.0,53,163.0,500,0.7,19.0
Entire rental unit,Entire home/apt,8,1.0,3.0,3.0,missing,missing,False,2.0,2.0,51.47005,-0.16076,True,17,31,55,212,5,4,0,4.4,4.0,4.4,4.6,0.41,499.0,1.0,36,523.0,513,0.5666666666666667,292.0
Entire condo,Entire home/apt,4,1.0,1.0,2.0,missing,missing,False,1.0,1.0,55.95146933163674,-3.184158047359115,True,0,0,0,180,0,0,0,4.86,4.87,4.88,4.77,0.87,246.0,2.0,42,3330.0,493,0.0,unknown
Private room in rental unit,Private room,1,1.0,1.0,1.0,within a day,100%,False,1.0,1.0,48.88678504504925,2.3481738749330403,True,1,24,54,54,0,0,0,4.86,4.87,4.88,4.77,0.87,60.0,1.0,5,1389.0,0,0.0333333333333333,unknown
Entire home,Entire home/apt,10,2.0,5.0,8.0,within an hour,100%,False,3.0,4.0,38.70558,-9.39422,True,2,2,2,2,11,3,0,4.73,4.64,5.0,4.73,0.24,299.0,1.6,38,3846.0,500,0.0666666666666666,164.0
Entire condo,Entire home/apt,4,1.0,1.0,1.0,within an hour,100%,False,1.0,1.0,45.434338,12.348248,True,15,18,21,74,120,37,0,4.81,4.89,4.95,4.78,3.38,77.0,1.0,40,1390.0,212,0.5,68.0
Entire rental unit,Entire home/apt,5,2.0,2.0,4.0,within an hour,94%,True,8.0,8.0,35.9213869,14.4903171,True,0,0,25,148,40,13,1,4.8,4.75,4.8,4.85,1.33,120.0,2.0,60,1922.0,470,0.0,95.0
